word;transcription;translation;class
destroy;[dısʹtrɔı];уничтожить;verb
detective;[dıʹtektıv];детектив;noun
develop;[dıʹveləp];развивать;verb
device;[dıʹvaıs];устройство;noun
diary;[ʹdaıərı];дневник;noun
differently;[ʹdıf(ə)rəntlı];по-разному;adverb
digital;[ʹdıdʒıt(ə)l];цифровой;adjective
direct;[d(a)ıʹrekt];прямой;adjective
direction;[d(a)ıʹrekʃ(ə)n];направление;noun
director;[d(a)ıʹrektə];директор;noun
disagree;[͵dısəʹgri:];не соглашаться;verb
disappear;[͵dısəʹpıə];исчезнуть;verb
disaster;[dıʹzɑ:stə];катастрофа;noun
discover;[dısʹkʌvə];обнаружить;verb
discovery;[dısʹkʌv(ə)rı];открытие;noun
discussion;[dısʹkʌʃ(ə)n];обсуждение;noun
disease;[dıʹzi:z];заболевание;noun
distance;[ʹdıst(ə)ns];расстояние;noun
divorced;[dɪʹvɔːst];разведенный;adjective
document;[ʹdɒkjʋmənt];документ;noun
double;[ʹdʌbl];двойной;adjective
double;[ʹdʌbl];двойной;determiner
double;[ʹdʌbl];двойной;pronoun
double;[ʹdʌbl];удвоить;verb
download;[ʹdaʋn͵ləʋd];загрузка;noun
download;[ʹdaʋn͵ləʋd];скачать;verb
downstairs;[͵daʋnʹsteəz];нижний;adjective
drama;[ʹdrɑ:mə];драма;noun
drawing;[ʹdrɔ:ıŋ];рисунок;noun
dream;[dri:m];мечта;noun
dream;[dri:m];мечтать;verb
drive;[draıv];диск;noun
driving;[ʹdraıvıŋ];вождение;noun
drop;[drɒp];капать;verb
drug;[drʌg];препарат;noun
dry;[draı];сухой;adjective
dry;[draı];высохнуть;verb
earn;[ɜ:n];зарабатывать;verb
earth;[ɜ:θ];земля;noun
easily;[ʹi:zılı];легко;adverb
education;[͵edjʋʹkeıʃ(ə)n];образование;noun
effect;[ıʹfekt];эффект;noun
either;[ʹaıðə];тоже;adverb
either;[ʹaıðə];любой;determiner
either;[ʹaıðə];каждый;pronoun
electric;[ıʹlektrık];электрический;adjective
electrical;[ıʹlektrık(ə)l];электрический;adjective
electricity;[ı͵lekʹtrısıtı];электроэнергия;noun
electronic;[ı͵lekʹtrɒnık];электронный;adjective
employ;[ımʹplɔı];использовать;verb
employee;[͵emplɔıʹi:];сотрудник;noun
employer;[ımʹplɔıə];работодатель;noun
empty;[ʹemptı];пустой;adjective
ending;[ʹendıŋ];прекращение;noun
energy;[ʹenədʒı];энергия;noun
engine;[ʹendʒın];двигатель;noun
engineer;[͵endʒıʹnıə];инженер;noun
enormous;[ıʹnɔ:məs];огромный;adjective
enter;[ʹentə];войти;verb
environment;[ınʹvaı(ə)rənmənt];окружающая среда;noun
equipment;[ıʹkwıpmənt];оборудование;noun
error;[ʹerə];ошибка;noun
especially;[ıʹspeʃ(ə)lı];особенно;adverb
essay;[ʹeseı];эссе;noun
everyday;[ʹevrıdeı];повседневный;adjective
everywhere;[ʹevrıweə];везде;adverb
evidence;[ʹevıd(ə)ns];доказательство;noun
exact;[ıgʹzækt];точный;adjective
exactly;[ıgʹzæktlı];именно;adverb
excellent;[ʹeks(ə)lənt];отличный;adjective
except;[ıkʹsept];кроме;preposition
exist;[ıgʹzıst];существовать;verb
expect;[ıkʹspekt];ожидать;verb
experience;[ıkʹspı(ə)rıəns];опыт;noun
experiment;[ıkʹsperımənt];эксперимент;noun
expert;[ʹekspɜ:t];экспертный;adjective
expert;[ʹekspɜ:t];эксперт;noun
explanation;[͵ekspləʹneıʃ(ə)n];объяснение;noun
express;[ıkʹspres];выразить;verb
expression;[ıkʹspreʃ(ə)n];выражение;noun
extreme;[ıkʹstri:m];экстремальный;adjective
extremely;[ıkʹstri:mlı];чрезвычайно;adverb
factor;[ʹfæktə];фактор;noun
factory;[ʹfækt(ə)rı];завод;noun
fail;[feıl];терпеть неудачу;verb
fair;[feə];справедливый;adjective
fall;[fɔ:l];падение;noun
fan;[fæn];поклонник;noun
farm;[fɑ:m];обрабатывать;verb
farming;[ʹfɑ:mıŋ];сельское хозяйство;noun
fashion;[ʹfæʃ(ə)n];мода;noun
fat;[fæt];жир;noun
fear;[fıə];страх;noun
feature;[ʹfi:tʃə];особенность;noun
feed;[fi:d];кормить;verb
female;[ʹfi:meıl];женский;adjective
female;[ʹfi:meıl];женщина;noun
fiction;[ʹfıkʃ(ə)n];фантастика;noun
field;[fi:ld];область;noun
fight;[faıt];борьба;noun
fight;[faıt];бороться;verb
figure;[ʹfıgə];фигура;noun
film;[fılm];снимать;verb
final;[ʹfaın(ə)l];финал;noun
finally;[ʹfaınəlı];наконец;adverb
finger;[ʹfıŋgə];палец;noun
finish;[ʹfınıʃ];финиш;noun
first;[fɜ:st];начало;noun
firstly;[ʹfɜ:stlı];во-первых;adverb
fish;[fıʃ];ловить рыбу;verb
fishing;[ʹfıʃıŋ];рыбалка;noun
fit;[fıt];пригодный;adjective
fit;[fıt];подходить;verb
fix;[fıks];исправить;verb
flat;[flæt];плоский;adjective
flu;[~:];грипп;noun
fly;[flaı];муха;noun
flying;[ʹflaııŋ];летающий;adjective
flying;[ʹflaııŋ];полет;noun
focus;[ʹfəʋkəs];внимание;noun
focus;[ʹfəʋkəs];сосредоточиться;verb
following;[ʹfɒləʋıŋ];следующий;adjective
foreign;[ʹfɒrın];иностранный;adjective
forest;[ʹfɒrıst];лес;noun
fork;[fɔ:k];вилка;noun
formal;[ʹfɔ:m(ə)l];формальный;adjective
fortunately;[ʹfɔ:tʃ(ə)nətlı];к счастью;adverb
forward;[ʹfɔ:wəd];вперед;adverb
free;[fri:];бесплатно;adverb
fresh;[freʃ];свежий;adjective
fridge;[frıdʒ];холодильник;noun
frog;[frɒg];лягушка;noun
fun;[fʌn];веселый;adjective
furniture;[ʹfɜ:nıtʃə];мебель;noun
further;[ʹfɜ:ðə];дальнейший;adjective
future;[ʹfju:tʃə];будущий;adjective
gallery;[ʹgælərı];галерея;noun
gap;[gæp];разрыв;noun
gas;[gæs];газ;noun
gate;[geıt];ворота;noun
general;[ʹdʒen(ə)rəl];общий;adjective
gift;[gıft];подарок;noun
goal;[gəʋl];цель;noun
god;[gɒd];бог;noun
gold;[gəʋld];золотой;adjective
gold;[gəʋld];золото;noun
golf;[gɒlf];гольф;noun
good;[gʋd];добро;noun
government;[ʹgʌv(ə)mənt];правительство;noun
grass;[grɑ:s];трава;noun
greet;[gri:t];приветствовать;verb
ground;[graʋnd];земля;noun
guest;[gest];гость;noun
guide;[gaıd];руководство;noun
guide;[gaıd];направлять;verb
gun;[gʌn];пистолет;noun
guy;[gaı];парень;noun
habit;[ʹhæbıt];привычка;noun
half;[hɑ:f];наполовину;adverb
hall;[hɔ:l];зал;noun
happily;[ʹhæpılı];счастливо;adverb
have;[hæv];иметь;auxiliary verb
headache;[ʹhedeık];головная боль;noun
heart;[hɑ:t];сердце;noun
heat;[hi:t];тепло;noun
heat;[hi:t];нагревать;verb
heavy;[ʹhevı];тяжелый;adjective
height;[haıt];высота;noun
helpful;[ʹhelpf(ə)l];полезный;adjective
hero;[ʹhı(ə)rəʋ];герой;noun
hers;[hɜ:z];ее;pronoun
herself;[(h)əʹself];себя;pronoun
hide;[haıd];скрывать;verb
high;[haı];высоко;adverb
hill;[hıl];холм;noun
himself;[(h)ımʹself];себя;pronoun
his;[hız];его;pronoun
hit;[hıt];хит;noun
hit;[hıt];ударить;verb
hockey;[ʹhɒkı];хоккей;noun
hold;[həʋld];провести;verb
hole;[həʋl];дыра;noun
home;[həʋm];домашний;adjective
hope;[həʋp];надежда;noun
huge;[hju:dʒ];огромный;adjective
human;[ʹhju:mən];человеческий;adjective
human;[ʹhju:mən];человек;noun
hurt;[hɜ:t];раненый;adjective
hurt;[hɜ:t];пострадать;verb
ideal;[aıʹdıəl];идеальный;adjective
identify;[aıʹdentıfaı];определить;verb
ill;[ıl];больной;adjective
illness;[ʹılnıs];болезнь;noun
image;[ʹımıdʒ];изображение;noun
immediately;[ıʹmi:dıətlı];сразу;adverb
impossible;[ımʹpɒsəb(ə)l];невозможный;adjective
included;[ınʹklu:dıd];включенный;adjective
including;[ınʹklu:dıŋ];включая;preposition
increase;[ʹıŋkri:s];увеличение;noun
increase;[ʹıŋkri:s];увеличить;verb
incredible;[ınʹkredəb(ə)l];невероятный;adjective
independent;[͵ındıʹpendənt];независимый;adjective
individual;[͵ındıʹvıdʒʋəl];индивидуальный;adjective
individual;[͵ındıʹvıdʒʋəl];человек;noun
industry;[ʹındəstrı];промышленность;noun
informal;[ınʹfɔ:m(ə)l];неофициальный;adjective
injury;[ʹındʒərı];травма;noun
insect;[ʹınsekt];насекомое;noun
inside;[ınʹsaıd];внутренний;adjective
inside;[ınʹsaıd];внутри;adverb
inside;[ınʹsaıd];интерьер;noun
inside;[ınʹsaıd];внутри;preposition
instead;[ınʹsted];вместо;adverb
instruction;[ınʹstrʌkʃ(ə)n];инструкция;noun
instructor;[ınʹstrʌktə];инструктор;noun
instrument;[ʹınstrəmənt];инструмент;noun
intelligent;[ınʹtelıdʒ(ə)nt];умный;adjective
international;[͵ıntəʹnæʃ(ə)nəl];международный;adjective
introduction;[͵ıntrəʹdʌkʃ(ə)n];введение;noun
invent;[ınʹvent];изобрести;verb
invention;[ınʹvenʃ(ə)n];изобретение;noun
invitation;[͵ınvıʹteıʃ(ə)n];приглашение;noun
invite;[ʹınvaıt];приглашать;verb
involve;[ınʹvɒlv];включать;verb
item;[ʹaıtəm];пункт;noun
itself;[ıtʹself];себя;pronoun
jam;[dʒæm];джем;noun
jazz;[dʒæz];джаз;noun
jewellery;[ʹdʒu:əlrı];украшение;noun
joke;[dʒəʋk];шутка;noun
joke;[dʒəʋk];шутить;verb
journalist;[ʹdʒɜ:n(ə)lıst];журналист;noun
jump;[dʒʌmp];прыжок;noun
jump;[dʒʌmp];прыгать;verb
kid;[kıd];ребенок;noun
kill;[kıl];убить;verb
king;[kıŋ];король;noun
knee;[ni:];колено;noun
knife;[naıf];нож;noun
knock;[nɒk];стучать;verb
knowledge;[ʹnɒlıdʒ];знание;noun
lab;[læb];лаборатория;noun
lady;[ʹleıdı];леди;noun
lake;[leık];озеро;noun
lamp;[læmp];лампа;noun
land;[lænd];приземлиться;verb
laptop;['læptɔp];ноутбук;noun
last;[lɑ:st];в последний раз;adverb
last;[lɑ:st];конец;noun
last;[lɑ:st];длиться;verb
later;[ʹleıtə];последующий;adjective
laughter;[ʹlɑ:ftə];смех;noun
law;[lɔ:];закон;noun
lawyer;[ʹlɔ:jə];адвокат;noun
lazy;[ʹleızı];ленивый;adjective
lead;[led];привести;verb
leader;[ʹli:də];лидер;noun
learning;[ʹlɜ:nıŋ];обучение;noun
least;[li:st];наименее;adverb
least;[li:st];меньше;determiner
least;[li:st];наименьшее количество;pronoun
lecture;[ʹlektʃə];лекция;noun
lecture;[ʹlektʃə];читать лекции;verb
lemon;[ʹlemən];лимон;noun
lend;[lend];одолжить;verb
less;[les];менее;adverb
less;[les];меньше;determiner
less;[les];меньшее;pronoun
level;[ʹlev(ə)l];уровень;noun
lifestyle;[ʹlaıfstaıl];образ жизни;noun
lift;[lıft];лифт;noun
lift;[lıft];поднять;verb
light;[laıt];зажечь;verb
likely;[ʹlaıklı];вероятный;adjective
link;[lıŋk];ссылка;noun
link;[lıŋk];связать;verb
listener;[ʹlıs(ə)nə];слушатель;noun
little;[ʹlıtl];немного;adverb
lock;[lɒk];замок;noun
lock;[lɒk];запереть;verb
look;[lʋk];взгляд;noun
lorry;[ʹlɒrı];грузовик;noun
lost;[lɒst];потерянный;adjective
loud;[laʋd];громкий;adjective
loud;[laʋd];громко;adverb
loudly;[ʹlaʋdlı];громко;adverb
lovely;[ʹlʌvlı];прекрасный;adjective
low;[ləʋ];низкий;adjective
low;[ləʋ];низко;adverb
luck;[lʌk];удача;noun
lucky;[ʹlʌkı];счастливый;adjective
mail;[meıl];почта;noun
mail;[meıl];отправить;verb
major;[ʹmeıdʒə];крупный;adjective
male;[meıl];мужской;adjective
male;[meıl];мужчина;noun
manage;[ʹmænıdʒ];управлять;verb
manager;[ʹmænıdʒə];менеджер;noun
manner;[ʹmænə];образ;noun
mark;[mɑ:k];Марк;noun
mark;[mɑ:k];отметить;verb
marry;[ʹmærı];жениться на;verb
material;[məʹtı(ə)rıəl];материал;noun
mathematics;[͵mæθıʹmætıks];математик;noun
maths;[mæθs];математика;noun
matter;[ʹmætə];вопрос;noun
matter;[ʹmætə];иметь значение;verb
may;[meı];мочь;modal verb
media;[ʹmedıə];СМИ;noun
medical;[ʹmedık(ə)l];медицинский;adjective
medicine;[ʹmeds(ə)n];медицина;noun
memory;[ʹmem(ə)rı];память;noun
mention;[ʹmenʃ(ə)n];упомянуть;verb
metal;[metl];металл;noun
method;[ʹmeθəd];метод;noun
middle;[mıdl];средний;adjective
middle;[mıdl];середина;noun
might;[maıt];мочь;modal verb
mind;[maınd];ум;noun
mind;[maınd];возражать;verb
mine;[maın];мой;pronoun
mirror;[ʹmırə];зеркало;noun
missing;[ʹmısıŋ];недостающий;adjective
mobile;[ʹməʋbaıl];мобильный;adjective
mobile;[ʹməʋbaıl];мобильный телефон;noun
monkey;[ʹmʌŋkı];обезьяна;noun
moon;[mu:n];луна;noun
mostly;[ʹməʋstlı];в основном;adverb
motorcycle;[ʹməʋtə͵saık(ə)l];мотоцикл;noun
movement;[ʹmu:vmənt];движение;noun
musical;[ʹmju:zık(ə)l];музыкальный;adjective
musician;[mju:ʹzıʃ(ə)n];музыкант;noun
myself;[maıʹself];себя;pronoun
narrow;[ʹnærəʋ];узкий;adjective
national;[ʹnæʃ(ə)nəl];национальный;adjective
nature;[ʹneıtʃə];природа;noun
nearly;[ʹnıəlı];почти;adverb
necessary;[ʹnesıs(ə)rı];необходимый;adjective
neck;[nek];шея;noun
need;[ni:d];необходимость;noun
neither;[ʹnaıðə];никакой;determiner
neither;[ʹnaıðə];никто;pronoun
nervous;[ʹnɜ:vəs];нервный;adjective
network;[ʹnetwɜ:k];сеть;noun
noise;[nɔız];шум;noun
noisy;[ʹnɔızı];шумный;adjective
none;[nʌn];ни один;pronoun
normal;[ʹnɔ:m(ə)l];нормальный;adjective
normally;[ʹnɔːməlɪ];обычно;adverb
notice;[ʹnəʋtıs];уведомление;noun
notice;[ʹnəʋtıs];заметить;verb
novel;[ʹnɒv(ə)l];роман;noun
nowhere;[ʹnəʋweə];нигде;adverb
number;[ʹnʌmbə];насчитывать;verb
nut;[nʌt];орех;noun
ocean;[ʹəʋʃ(ə)n];океан;noun
offer;[ʹɒfə];предложение;noun
offer;[ʹɒfə];предлагать;verb
officer;[ʹɒfısə];офицер;noun
oil;[ɔıl];масло;noun
onto;[ʹɒntʋ];на;preposition
opportunity;[͵ɒpəʹtju:nıtı];возможность;noun
option;[ʹɒpʃ(ə)n];вариант;noun
ordinary;[ʹɔ:d(ə)nrı];обычный;adjective
organization;[͵ɔ:gənaıʹzeıʃ(ə)n];организация;noun
organize;[ʹɔ:gənaız];организовать;verb
original;[əʹrıdʒın(ə)l];оригинальный;adjective
ourselves;[aʋəʹselvz];себя;pronoun
outside;[ʹaʋtsaıd];внешний;adjective
outside;[ʹaʋtsaıd];улица;noun
outside;[ʹaʋtsaıd];за пределами;preposition
oven;[ʹʌv(ə)n];печь;noun
own;[əʋn];владеть;verb
owner;[ʹəʋnə];владелец;noun
pack;[pæk];упаковать;verb
pain;[peın];боль;noun
painter;[ʹpeıntə];художник;noun
palace;[ʹpælıs];дворец;noun
pants;[pænts];штаны;noun
parking;[ʹpɑ:kıŋ];парковка;noun
particular;[pəʹtıkjʋlə];конкретный;adjective
pass;[pɑ:s];пройти;verb
passenger;[ʹpæsındʒə];пассажир;noun
past;[pɑ:st];мимо;adverb
patient;[ʹpeıʃ(ə)nt];пациент;noun
pattern;[ʹpætn];модель;noun
pay;[peı];оплата;noun
peace;[pi:s];мир;noun
penny;[ʹpenı];пенни;noun
per;[pɜ:];согласно;preposition
per cent;[pɜ:] [sent];процентный;adjective
per cent;[pɜ:] [sent];на сотню;adverb
per cent;[pɜ:] [sent];процент;noun
perform;[pəʹfɔ:m];выполнять;verb
perhaps;[pəʹhæps];возможно;adverb
permission;[pəʹmıʃ(ə)n];разрешение;noun
personality;[͵pɜ:səʹnælıtı];личность;noun
pet;[pet];питомец;noun
petrol;[ʹpetrəl];бензин;noun
photograph;[ʹfəʋtəgrɑ:f];фотографировать;verb
physical;[ʹfızık(ə)l];физический;adjective
physics;[ʹfıızıks];физика;noun
pick;[pık];выбрать;verb
pilot;[ʹpaılɒt];пилот;noun
planet;[ʹplænıt];планета;noun
plant;[plɑ:nt];посадить;verb
plastic;[ʹplæstık];пластиковый;adjective
plastic;[ʹplæstık];пластик;noun
plate;[pleıt];пластина;noun
platform;[ʹplætfɔ:m];платформа;noun
please;[pli:z];угодить;verb
pleased;[pli:zd];рад;adjective
pocket;[ʹpɒkıt];карман;noun
polite;[pəʹlaıt];вежливый;adjective
pollution;[pəʹlu:ʃ(ə)n];загрязнение;noun
pop;[pɒp];эстрадный;adjective
pop;[pɒp];поп;noun
population;[͵pɒpjʋʹleıʃ(ə)n];население;noun
position;[pəʹzıʃ(ə)n];позиция;noun
possession;[pəʹzeʃ(ə)n];владение;noun
possibility;[͵pɒsəʹbılıtı];возможность;noun
poster;[ʹpəʋstə];плакат;noun
power;[ʹpaʋə];сила;noun
predict;[prıʹdıkt];предсказать;verb
present;[ʹprez(ə)nt];представить;verb
president;[ʹprezıd(ə)nt];президент;noun
prevent;[prıʹvent];предотвратить;verb
print;[prınt];печатать;verb
printer;[ʹprıntə];принтер;noun
prison;[ʹprız(ə)n];тюрьма;noun
prize;[praız];премия;noun
process;[ʹprəʋsəs];процесс;noun
produce;[ʹprɒdju:s];производить;verb
professional;[prəʹfeʃ(ə)nəl];профессиональный;adjective
professor;[prəʹfesə];профессор;noun
profile;[ʹprəʋfaıl];профиль;noun
