word;transcription;translation;class
calculate;[ʹkælkjʋleıt];рассчитать;verb
canal;[kəʹnæl];канал;noun
cancel;[ʹkæns(ə)l];отменить;verb
cancer;[ʹkænsə];рак;noun
candle;[ʹkændl];свеча;noun
capable;[ʹkeıpəb(ə)l];способный;adjective
capacity;[kəʹpæsıtı];потенциал;noun
capture;[ʹkæptʃə];захват;noun
capture;[ʹkæptʃə];захватить;verb
carbon;[ʹkɑ:bən];углерод;noun
cast;[kɑ:st];актерский состав;noun
cast;[kɑ:st];бросить;verb
casual;[ʹkæʒʋəl];случайный;adjective
catch;[kætʃ];улов;noun
cave;[keıv];пещера;noun
cell;[sel];клетка;noun
certainty;[ʹsɜ:tntı];уверенность;noun
certificate;[səʹtıfıkət];сертификат;noun
chain;[tʃeın];приковать;verb
chair;[tʃeə];председательствовать;verb
chairman;[ʹtʃeəmən];председатель;noun
challenge;[ʹtʃælındʒ];оспорить;verb
challenging;[ʹtʃælındʒıŋ];сложный;adjective
championship;[ʹtʃæmpıənʃıp];чемпионат;noun
characteristic;[͵kærıktəʹrıstık];характерный;adjective
characteristic;[͵kærıktəʹrıstık];характеристика;noun
charming;[ʹtʃɑ:mıŋ];очаровательный;adjective
chart;[tʃɑ:t];наметить;verb
chase;[tʃeıs];погоня;noun
chase;[tʃeıs];преследовать;verb
cheek;[tʃi:k];щека;noun
cheer;[tʃıə];радость;noun
cheer;[tʃıə];подбодрить;verb
chief;[tʃi:f];главный;adjective
chief;[tʃi:f];начальник;noun
choir;[ʹkwaıə];хор;noun
chop;[tʃɒp];рубить;verb
circuit;[ʹsɜ:kıt];схема;noun
circumstance;[ʹsɜ:kəmstæns];обстоятельство;noun
cite;[saıt];привести;verb
citizen;[ʹsıtız(ə)n];гражданин;noun
civil;[ʹsıv(ə)l];гражданский;adjective
civilization;[͵sıv(ə)laıʹzeıʃ(ə)n];цивилизация;noun
clarify;[ʹklærıfaı];уточнить;verb
classic;[ʹklæsık];классический;adjective
classic;[ʹklæsık];классика;noun
classify;[ʹklæsıfaı];классифицировать;verb
clerk;[klɑ:k];клерк;noun
cliff;[klıf];скала;noun
clinic;[ʹklınık];клиника;noun
clip;[klıp];клип;noun
close;[kləʋs];закрытие;noun
closely;[ʹkləʋslı];тесно;adverb
coincidence;[kəʋʹınsıd(ə)ns];совпадение;noun
collapse;[kəʹlæps];крах;noun
collapse;[kəʹlæps];рухнуть;verb
collector;[kəʹlektə];коллекционер;noun
colony;[ʹkɒlənı];колония;noun
colourful;[ʹkʌləf(ə)l];красочный;adjective
combination;[͵kɒmbıʹneıʃ(ə)n];сочетание;noun
comfort;[ʹkʌmfət];комфорт;noun
comfort;[ʹkʌmfət];утешить;verb
comic;[ʹkɒmık];комический;adjective
comic;[ʹkɒmık];комикс;noun
command;[kəʹmɑ:nd];командование;noun
command;[kəʹmɑ:nd];командовать;verb
commander;[kəʹmɑ:ndə];командир;noun
commission;[kəʹmıʃ(ə)n];комиссия;noun
commission;[kəʹmıʃ(ə)n];заказать;verb
commitment;[kəʹmıtmənt];приверженность;noun
committee;[kəʹmıtı];комитет;noun
commonly;[ʹkɒmənlı];обычно;adverb
comparative;[kəmʹpærətıv];сравнительный;adjective
completion;[kəmʹpli:ʃ(ə)n];завершение;noun
complex;[ʹkɒmpleks];комплекс;noun
complicated;[ʹkɒmplıkeıtıd];сложный;adjective
component;[kəmʹpəʋnənt];компонент;noun
compose;[kəmʹpəʋz];составлять;verb
composer;[kəmʹpəʋzə];композитор;noun
compound;[ʹkɒmpaʋnd];соединение;noun
comprehensive;[͵kɒmprıʹhensıv];всеобъемлющий;adjective
comprise;[kəmʹpraız];составлять;verb
compulsory;[kəmʹpʌls(ə)rı];обязательный;adjective
concentration;[͵kɒns(ə)nʹtreıʃ(ə)n];концентрация;noun
concept;[ʹkɒnsept];концепция;noun
concern;[kənʹsɜ:n];озабоченность;noun
concern;[kənʹsɜ:n];касаться;verb
concerned;[kənʹsɜ:nd];заинтересованный;adjective
concrete;[ʹkɒŋkri:t];конкретный;adjective
concrete;[ʹkɒŋkri:t];бетон;noun
conduct;[ʹkɒndʌkt];поведение;noun
conduct;[ʹkɒndʌkt];проводить;verb
confess;[kənʹfes];признаться;verb
confidence;[ʹkɒnfıd(ə)ns];уверенность;noun
conflict;[ʹkɒnflıkt];конфликт;noun
conflict;[ʹkɒnflıkt];конфликтовать;verb
confusing;[kənʹfju:zıŋ];запутанный;adjective
confusion;[kənʹfju:ʒ(ə)n];путаница;noun
conscious;[ʹkɒnʃəs];сознательный;adjective
consequently;[ʹkɒnsıkwəntlı];следовательно;adverb
conservation;[͵kɒnsəʹveıʃ(ə)n];сохранение;noun
conservative;[kənʹsɜ:vətıv];консервативный;adjective
conservative;[kənʹsɜ:vətıv];консерватор;noun
considerable;[kənʹsıd(ə)rəb(ə)l];значительный;adjective
considerably;[kənʹsıd(ə)rəblı];значительно;adverb
consideration;[kən͵sıdəʹreıʃ(ə)n];рассмотрение;noun
consistent;[kənʹsıst(ə)nt];последовательный;adjective
consistently;[kənʹsıst(ə)ntlı];последовательно;adverb
conspiracy;[kənʹspırəsı];заговор;noun
constant;[ʹkɒnstənt];постоянный;adjective
constantly;[ʹkɒnstəntlı];постоянно;adverb
construct;[ʹkɒnstrʌkt];построить;verb
construction;[kənʹstrʌkʃ(ə)n];строительство;noun
consult;[kənʹsʌlt];обратиться к;verb
consultant;[kənʹsʌlt(ə)nt];консультант;noun
consumption;[kənʹsʌmpʃ(ə)n];потребление;noun
contemporary;[kənʹtemp(ə)rərı];современный;adjective
contest;[ʹkɒntest];конкурс;noun
contest;[ʹkɒntest];оспаривать;verb
contract;[ʹkɒntrækt];контракт;noun
contract;[ʹkɒntrækt];сокращаться;verb
contribute;[kənʹtrıbju:t];способствовать;verb
contribution;[͵kɒntrıʹbju:ʃ(ə)n];вклад;noun
controversial;[͵kɒntrəʹvɜ:ʃ(ə)l];спорный;adjective
controversy;[ʹkɒntrəvɜ:sı];спор;noun
convenience;[kənʹvi:nıəns];удобство;noun
convention;[kənʹvenʃ(ə)n];конвенция;noun
conventional;[kənʹvenʃ(ə)nəl];обычный;adjective
convert;[ʹkɒnvɜ:t];конвертировать;verb
convey;[kənʹveı];передать;verb
convinced;[kənʹvınst];убежденный;adjective
convincing;[kənʹvınsıŋ];убедительный;adjective
cope;[kəʋp];справиться;verb
core;[kɔ:];основной;adjective
core;[kɔ:];ядро;noun
corporate;[ʹkɔ:p(ə)rıt];корпоративный;adjective
corporation;[͵kɔ:pəʹreıʃ(ə)n];корпорация;noun
corridor;[ʹkɒrıdɔ:];коридор;noun
council;[ʹkaʋns(ə)l];совет;noun
counter;[ʹkaʋntə];счетчик;noun
county;[ʹkaʋntı];округ;noun
courage;[ʹkʌrıdʒ];мужество;noun
coverage;[ʹkʌv(ə)rıdʒ];охват;noun
crack;[kræk];трещина;noun
crack;[kræk];взломать;verb
craft;[krɑ:ft];ремесло;noun
crash;[kræʃ];авария;noun
crash;[kræʃ];рухнуть;verb
creation;[krıʹeıʃ(ə)n];создание;noun
creativity;[͵kri:eıʹtıvıtı];творчество;noun
creature;[ʹkri:tʃə];существо;noun
credit;[ʹkredıt];кредитовать;verb
crew;[kru:];экипаж;noun
crisis;[ʹkraısıs];кризис;noun
criterion;[kraıʹtı(ə)rıən];критерий;noun
critic;[ʹkrıtık];критик;noun
critical;[ʹkrıtık(ə)l];критический;adjective
critically;[ʹkrıtık(ə)lı];критически;adverb
criticism;[ʹkrıtısız(ə)m];критик;noun
criticize;[ʹkrıtısaız];критиковать;verb
crop;[krɒp];урожай;noun
crucial;[ʹkru:ʃ(ə)l];важный;adjective
cruise;[kru:z];круиз;noun
cruise;[kru:z];путешествовать;verb
cry;[kraı];крик;noun
cue;[kju:];сигнал;noun
cure;[kjʋə];лечение;noun
cure;[kjʋə];вылечить;verb
curious;[ʹkjʋ(ə)rıəs];любопытный;adjective
current;[ʹkʌrənt];ток;noun
curriculum;[kəʹrıkjʋləm];учебный план;noun
curve;[kɜ:v];изгиб;noun
curve;[kɜ:v];изгибаться;verb
curved;[kɜ:vd];изогнутый;adjective
cute;[kju:t];милый;adjective
dairy;[ʹdeərı];молочный;adjective
dairy;[ʹdeərı];молочные продукты;noun
dare;[deə];сметь;verb
darkness;[ʹdɑ:knıs];тьма;noun
database;['deitəbeis];база данных;noun
date;[deıt];датироваться;verb
deadline;[ʹdedlaın];срок;noun
deadly;[ʹdedlı];смертельный;adjective
dealer;[ʹdi:lə];дилер;noun
debate;[dıʹbeıt];дебаты;noun
debate;[dıʹbeıt];обсуждать;verb
debt;[det];долг;noun
decent;[ʹdi:s(ə)nt];достойный;adjective
deck;[dek];палуба;noun
declare;[dıʹkleə];объявить;verb
decline;[dıʹklaın];снижение;noun
decline;[dıʹklaın];снижаться;verb
decoration;[͵dekəʹreıʃ(ə)n];украшение;noun
decrease;[ʹdi:kri:s];снижение;noun
decrease;[ʹdi:kri:s];уменьшить;verb
deeply;[ʹdi:plı];глубоко;adverb
defeat;[dıʹfi:t];поражение;noun
defeat;[dıʹfi:t];победить;verb
defence;[dıʹfens];оборона;noun
defend;[dıʹfend];защищать;verb
defender;[dıʹfendə];защитник;noun
delay;[dıʹleı];задержка;noun
delay;[dıʹleı];отложить;verb
delete;[dıʹli:t];удалить;verb
deliberate;[dıʹlıb(ə)rıt];преднамеренный;adjective
deliberately;[dıʹlıb(ə)rıtlı];намеренно;adverb
delight;[dıʹlaıt];восторг;noun
delight;[dıʹlaıt];радовать;verb
delighted;[dıʹlaıtıd];рад;adjective
delivery;[dıʹlıv(ə)rı];доставка;noun
demand;[dıʹmɑ:nd];спрос;noun
demand;[dıʹmɑ:nd];требовать;verb
democracy;[dıʹmɒkrəsı];демократия;noun
democratic;[͵deməʹkrætık];демократический;adjective
demonstrate;[ʹdemənstreıt];продемонстрировать;verb
demonstration;[͵demənʹstreıʃ(ə)n];демонстрация;noun
deny;[dıʹnaı];отрицать;verb
depart;[di:ʹpɑ:t];отправляться;verb
dependent;[dıʹpendənt];зависимый;adjective
deposit;[dıʹpɒzıt];депозит;noun
depressed;[dıʹprest];подавленный;adjective
depressing;[dıʹpresıŋ];удручающий;adjective
depression;[dıʹpreʃ(ə)n];депрессия;noun
depth;[depθ];глубина;noun
derive;[dıʹraıv];получать;verb
desert;[ʹdezət];покинуть;verb
deserve;[dıʹzɜ:v];заслуживать;verb
desire;[dıʹzaıə];желание;noun
desire;[dıʹzaıə];желать;verb
desperate;[ʹdesp(ə)rıt];отчаянный;adjective
desperately;[ʹdesp(ə)rıtlı];отчаянно;adverb
destruction;[dısʹtrʌkʃ(ə)n];уничтожение;noun
detail;[ʹdi:teıl];детализировать;verb
detailed;[ʹdi:teıld];подробный;adjective
detect;[dıʹtekt];обнаружить;verb
determination;[dı͵tɜ:mıʹneıʃ(ə)n];определение;noun
devote;[dıʹvəʋt];посвятить;verb
differ;[ʹdıfə];отличаться;verb
dig;[dıg];копать;verb
disability;[͵dısəʹbılıtı];инвалидность;noun
disabled;[dısʹeıbld];людей с ограниченными возможностями;adjective
disagreement;[͵dısəʹgri:mənt];разногласие;noun
disappoint;[͵dısəʹpɔınt];разочаровать;verb
disappointment;[͵dısəʹpɔıntmənt];разочарование;noun
disc;[dısk];диск;noun
discipline;[ʹdısıplın];дисциплина;noun
discount;[ʹdıskaʋnt];сбрасывать со счетов;verb
discourage;[dısʹkʌrıdʒ];препятствовать;verb
dishonest;[dısʹɒnıst];нечестный;adjective
disk;[dısk];диск;noun
dismiss;[dısʹmıs];уволить;verb
disorder;[dısʹɔ:də];расстройство;noun
display;[dısʹpleı];дисплей;noun
display;[dısʹpleı];отображать;verb
distant;[ʹdıst(ə)nt];далекий;adjective
distinct;[dısʹtıŋ(k)t];различный;adjective
distinguish;[dısʹtıŋgwıʃ];отличить;verb
distract;[dısʹtrækt];отвлечь;verb
distribute;[dısʹtrıbju(:)t];распространять;verb
distribution;[͵dıstrıʹbju:ʃ(ə)n];распределение;noun
district;[ʹdıstrıkt];район;noun
disturb;[dısʹtɜ:b];беспокоить;verb
dive;[daıv];погружение;noun
dive;[daıv];погрузиться;verb
diverse;[daıʹvɜ:s];разнообразный;adjective
diversity;[daıʹvɜ:sıtı];разнообразие;noun
divide;[dıʹvaıd];разрыв;noun
division;[dıʹvıʒ(ə)n];отдел;noun
divorce;[dıʹvɔ:s];развод;noun
divorce;[dıʹvɔ:s];развестись;verb
document;[ʹdɒkjʋmənt];документировать;verb
domestic;[dəʹmestık];внутренний;adjective
dominant;[ʹdɒmınənt];доминирующий;adjective
dominate;[ʹdɒmıneıt];доминировать;verb
donation;[də(ʋ)ʹneıʃ(ə)n];пожертвование;noun
dot;[dɒt];точка;noun
downtown;[ʹdaʋntaʋn];центральный;adjective
downtown;[ʹdaʋntaʋn];в центре;adverb
downtown;[ʹdaʋntaʋn];центр города;noun
downwards;[ʹdaʋnwədz];вниз;adverb
dozen;[ʹdʌz(ə)n];дюжина;determiner
dozen;[ʹdʌz(ə)n];дюжина;noun
draft;[drɑ:ft];проект;noun
draft;[drɑ:ft];разработать;verb
drag;[dræg];перетащить;verb
dramatic;[drəʹmætık];драматический;adjective
dramatically;[drəʹmætık(ə)lı];резко;adverb
drought;[draʋt];засуха;noun
dull;[dʌl];скучный;adjective
dump;[dʌmp];бросить;verb
duration;[djʋ(ə)ʹreıʃ(ə)n];продолжительность;noun
dynamic;[daıʹnæmık];динамический;adjective
economics;[͵ekəʹnɒmıks];экономика;noun
economist;[ıʹkɒnəmıst];экономист;noun
edit;[ʹedıt];редактировать;verb
edition;[ıʹdıʃ(ə)n];издание;noun
editorial;[͵edıʹtɔ:rıəl];редакционный;adjective
efficient;[ıʹfıʃ(ə)nt];эффективный;adjective
efficiently;[i'fiʃ(ə)ntli];эффективно;adverb
elbow;[ʹelbəʋ];локоть;noun
elderly;[ʹeldəlı];престарелый;adjective
elect;[ıʹlekt];избрать;verb
electronics;[ı͵lekʹtrɒnıks];электроника;noun
elegant;[ʹelıgənt];элегантный;adjective
elementary;[͵elıʹment(ə)rı];элементарный;adjective
eliminate;[ıʹlımıneıt];устранить;verb
elsewhere;[(ʹ)elsʹweə];в другом месте;adverb
embrace;[ımʹbreıs];принять;verb
emerge;[ıʹmɜ:dʒ];появляться;verb
emission;[ıʹmıʃ(ə)n];выброс;noun
emotional;[ıʹməʋʃ(ə)nəl];эмоциональный;adjective
emotionally;[ıʹməʋʃ(ə)nəlı];эмоционально;adverb
emphasis;[ʹemfəsıs];акцент;noun
emphasize;[ʹemfəsaız];подчеркнуть;verb
empire;[ʹempaıə];империя;noun
enable;[ıʹneıb(ə)l];позволить;verb
encounter;[ınʹkaʋntə];встреча;noun
encounter;[ınʹkaʋntə];сталкиваться с;verb
engage;[ınʹgeıdʒ];заниматься;verb
enhance;[ınʹhɑ:ns];повысить;verb
enjoyable;[ınʹdʒɔıəb(ə)l];приятный;adjective
enquiry;[ınʹkwaıə];запрос;noun
ensure;[ınʹʃʋə];обеспечить;verb
entertaining;[͵entəʹteınıŋ];развлекательный;adjective
enthusiasm;[ınʹtju:zıæz(ə)m];энтузиазм;noun
enthusiastic;[ın͵θju:zıʹæstık];восторженный;adjective
entire;[ınʹtaıə];целый;adjective
entirely;[ınʹtaıəlı];полностью;adverb
entrepreneur;[͵ɒntrəprəʹnɜ:];предприниматель;noun
envelope;[ʹenvələʋp];конверт;noun
equal;[ʹi:kwəl];равенство;noun
equip;[ıʹkwıp];оснастить;verb
equivalent;[ıʹkwıv(ə)lənt];эквивалентный;adjective
equivalent;[ıʹkwıv(ə)lənt];эквивалент;noun
era;[ʹı(ə)rə];эпоха;noun
erupt;[ıʹrʌpt];извергаться;verb
essentially;[ıʹsenʃ(ə)lı];по сути;adverb
establish;[ıʹstæblıʃ];установить;verb
estate;[ıʹsteıt];недвижимость;noun
estimate;[ʹestımıt];оценка;noun
estimate;[ʹestımıt];оценить;verb
ethic;[ʹeθık];этика;noun
ethical;[ʹeθık(ə)l];этический;adjective
ethnic;[ʹeθnık];этнический;adjective
evaluate;[ıʹvæljʋeıt];оценить;verb
evaluation;[ı͵væljʋʹeıʃ(ə)n];оценка;noun
even;[ʹi:v(ə)n];равный;adjective
evident;[ʹevıd(ə)nt];очевидный;adjective
evil;[ʹi:v(ə)l];злой;adjective
evil;[ʹi:v(ə)l];зло;noun
evolution;[͵i:vəʹlu:ʃ(ə)n];эволюция;noun
evolve;[ıʹvɒlv];развиваться;verb
examination;[ıg͵zæmıʹneıʃ(ə)n];обследование;noun
exceed;[ıkʹsi:d];превышать;verb
exception;[ıkʹsepʃ(ə)n];исключение;noun
excessive;[ıkʹsesıv];чрезмерный;adjective
exclude;[ıkʹsklu:d];исключать;verb
excuse;[ıkʹskju:s];оправдание;noun
excuse;[ıkʹskju:s];извинить;verb
executive;[ıgʹzekjʋtıv];исполнительный;adjective
executive;[ıgʹzekjʋtıv];руководитель;noun
exhibit;[ıgʹzıbıt];выставка;noun
exhibit;[ıgʹzıbıt];демонстрировать;verb
existence;[ıgʹzıst(ə)ns];существование;noun
exit;[ʹegzıt];выход;noun
exotic;[ıgʹzɒtık];экзотический;adjective
expansion;[ıkʹspænʃ(ə)n];расширение;noun
expectation;[͵ekspekʹteıʃ(ə)n];ожидание;noun
expense;[ıkʹspens];счет;noun
expertise;[͵ekspɜ:ʹti:z];опыт;noun
exploit;[ʹeksplɔıt];использовать;verb
exploration;[͵ekspləʹreıʃ(ə)n];разведка;noun
expose;[ıkʹspəʋz];разоблачить;verb
exposure;[ıkʹspəʋʒə];воздействие;noun
extend;[ıkʹstend];продлить;verb
extension;[ıkʹstenʃ(ə)n];расширение;noun
extensive;[ıkʹstensıv];обширный;adjective
extensively;[ik'sten(t)sivli];широко;adverb
extent;[ıkʹstent];степень;noun
external;[ıkʹstɜ:n(ə)l];внешний;adjective
extract;[ʹekstrækt];экстракт;noun
extraordinary;[ıkʹstrɔ:d(ə)n(ə)rı];чрезвычайный;adjective
extreme;[ıkʹstri:m];крайность;noun
fabric;[ʹfæbrık];ткань;noun
fabulous;[ʹfæbjʋləs];сказочный;adjective
facility;[fəʹsılıtı];объект;noun
failed;[feıld];неудачный;adjective
failure;[ʹfeıljə];неудача;noun
faith;[feıθ];вера;noun
fake;[feık];поддельный;adjective
fame;[feım];слава;noun
fantasy;[ʹfæntəsı];фантазия;noun
fare;[feə];тариф;noun
fault;[fɔ:lt];вина;noun
favour;[ʹfeıvə];способствовать;verb
feather;[ʹfeðə];перо;noun
federal;[ʹfed(ə)rəl];федеральный;adjective
fee;[fi:];плата;noun
feed;[fi:d];корм;noun
feedback;[ʹfi:dbæk];отзыв;noun
feel;[fi:l];ощущение;noun
fellow;[ʹfeləʋ];ближний;adjective
fever;[ʹfi:və];лихорадка;noun
figure;[ʹfıgə];понимать;verb
file;[faıl];подать;verb
finance;[ʹfaınæns];финансы;noun
finance;[ʹfaınæns];финансировать;verb
finding;[ʹfaındıŋ];поиск;noun
firefighter;['faiə,faitə];пожарный;noun
firework;[ʹfaıəwɜ:k];фейерверк;noun
firm;[fɜ:m];твердый;adjective
firm;[fɜ:m];фирма;noun
firmly;[fə:mli];твердо;adverb
fix;[fıks];исправление;noun
flame;[fleım];пламя;noun
flash;[flæʃ];вспышка;noun
flash;[flæʃ];мигать;verb
flavour;[ʹfleıvə];вкус;noun
flexible;[ʹfleksəb(ə)l];гибкий;adjective
float;[fləʋt];плавать;verb
fold;[fəʋld];раз;noun
folding;[ʹfəʋldıŋ];складной;adjective
following;[ʹfɒləʋıŋ];после;preposition
fond;[fɒnd];любить;adjective
fool;[fu:l];дурак;noun
forbid;[fəʹbıd];запрещать;verb
forecast;[ʹfɔ:kɑ:st];прогноз;noun
forecast;[ʹfɔ:kɑ:st];прогнозировать;verb
forgive;[fəʹgıv];простить;verb
format;[ʹfɔ:mæt];формат;noun
formation;[fɔ:ʹmeıʃ(ə)n];формирование;noun
