word;lvl;transcription;translation;class
any;a1;[ʹenı];любой;determiner
any;a1;[ʹenı];любой;pronoun
any more;a2;[ʹenı] [mɔ:];больше;adverb
anybody;a2;[ʹenıbɒdı];никто;pronoun
anyone;a1;[ʹenıwʌn];никто;pronoun
anything;a1;[ʹenıθıŋ];ничего;pronoun
anyway;a2;[ʹenıweı];в любом случае;adverb
anywhere;a2;[ʹenıweə];везде;adverb
anywhere;a2;[ʹenıweə];где-нибудь;pronoun
apart;b1;[əʹpɑ:t];друг от друга;adverb
apartment;a1;[əʹpɑ:tmənt];квартира;noun
apologize;b1;[əʹpɒlədʒaız];извиниться;verb
apology;b2;[əʹpɒlədʒı];извинение;noun
app;a2;[æp];приложение;noun
apparatus;c1;[͵æpəʹreıtəs];аппарат;noun
apparent;b2;[əʹpærənt];очевидный;adjective
apparently;b2;[əʹpærəntlı];по-видимому;adverb
appeal;b2;[əʹpi:l];апелляция;noun
appeal;b2;[əʹpi:l];обжаловать;verb
appealing;c1;[əʹpi:lıŋ];привлекательный;adjective
appear;a2;[əʹpıə];появляться;verb
appearance;a2;[əʹpı(ə)rəns];появление;noun
appetite;c1;[ʹæpıtaıt];аппетит;noun
applaud;c1;[əʹplɔ:d];приветствовать;verb
apple;a1;[ʹæp(ə)l];яблоко;noun
applicable;c1;[əʹplıkəb(ə)l];применимый;adjective
applicant;b2;[ʹæplıkənt];заявитель;noun
application;b1;[͵æplıʹkeıʃ(ə)n];применение;noun
apply;a2;[əʹplaı];применяться;verb
appoint;c1;[əʹpɔınt];назначить;verb
appointment;b1;[əʹpɔıntmənt];назначение;noun
appreciate;b1;[əʹpri:ʃıeıt];ценить;verb
appreciation;c1;[əʹpri:ʃıʹeıʃ(ə)n];признательность;noun
approach;b2;[əʹprəʋtʃ];подход;noun
approach;b2;[əʹprəʋtʃ];подойти;verb
appropriate;b2;[əʹprəʋprııt];соответствующий;adjective
appropriately;b2;[əʹprəʋprııtlı];надлежащим образом;adverb
approval;b2;[əʹpru:v(ə)l];утверждение;noun
approve;b2;[əʹpru:v];одобрить;verb
approximately;b1;[əʹprɒksımıtlı];примерно;adverb
april;a1;[ʹeıprəl];апрель;noun
arbitrary;c1;[ʹɑ:bıtrərı];произвольный;adjective
architect;a2;[ʹɑ:kıtekt];архитектор;noun
architectural;c1;[͵ɑ:kıʹtektʃ(ə)rəl];архитектурный;adjective
architecture;a2;[ʹɑ:kıtektʃə];архитектура;noun
archive;c1;[ʹɑ:kaıv];архив;noun
area;a1;[ʹe(ə)rıə];область;noun
arena;c1;[əʹri:nə];арена;noun
arguably;c1;['ɑ:gjuəbli];возможно;adverb
argue;a2;[ʹɑ:gju:];утверждать;verb
argument;a2;[ʹɑ:gjʋmənt];аргумент;noun
arise;b2;[əʹraız];возникать;verb
arm;a1;[ɑ:m];рука;noun
arm;c1;[ɑ:m];вооружить;verb
armed;b2;[ɑ:md];вооруженный;adjective
arms;b2;arms[МН.Ч.];оружие;noun
army;a2;[ʹɑ:mı];армия;noun
around;a1;[əʹraʋnd];вокруг;adverb
around;a1;[əʹraʋnd];до;preposition
arrange;a2;[əʹreındʒ];организовать;verb
arrangement;a2;[əʹreındʒmənt];соглашение;noun
array;c1;[əʹreı];массив;noun
arrest;b1;[əʹrest];арест;noun
arrest;b1;[əʹrest];арестовать;verb
arrival;b1;[əʹraıv(ə)l];прибытие;noun
arrive;a1;[əʹraıv];прибыть;verb
arrow;b2;[ʹærəʋ];стрела;noun
art;a1;[ɑ:t];искусство;noun
article;a1;[ʹɑ:tık(ə)l];статья;noun
articulate;c1;[ɑ:ʹtıkjʋlıt];сформулировать;verb
artificial;b2;[͵ɑ:tıʹfıʃ(ə)l];искусственный;adjective
artist;a1;[ʹɑ:tıst];художник;noun
artistic;b2;[ɑ:ʹtıstık];художественный;adjective
artwork;b2;[ʹɑ:twɜ:k];произведение искусства;noun
as;a2;[æz];как;adverb
as;a2;[æz];поскольку;conjunction
as;a1;[æz];на;preposition
ash;c1;[æʃ];пепел;noun
ashamed;b2;[əʹʃeımd];стыдно;adjective
aside;b2;[əʹsaıd];в сторону;adverb
ask;a1;[ɑ:sk];спросить;verb
asleep;a2;[əʹsli:p];спящий;adjective
aspect;b2;[ʹæspekt];аспект;noun
aspiration;c1;[͵æspıʹreıʃ(ə)n];стремление;noun
aspire;c1;[əʹspaıə];стремиться;verb
assassination;c1;[ə͵sæsıʹneıʃ(ə)n];убийство;noun
assault;c1;[əʹsɔ:lt];нападение;noun
assault;c1;[əʹsɔ:lt];напасть;verb
assemble;c1;[əʹsemb(ə)l];собрать;verb
assembly;c1;[əʹsemblı];ассамблея;noun
assert;c1;[əʹsɜ:t];утверждать;verb
assertion;c1;[əʹsɜ:ʃ(ə)n];утверждение;noun
assess;b2;[əʹses];оценить;verb
assessment;b2;[əʹsesmənt];оценка;noun
asset;b2;[ʹæset];актив;noun
assign;b2;[əʹsaın];назначить;verb
assignment;b1;[əʹsaınmənt];задание;noun
assist;b1;[əʹsıst];помочь;verb
assistance;b2;[əʹsıst(ə)ns];помощь;noun
assistant;a2;[əʹsıst(ə)nt];младший;adjective
assistant;a2;[əʹsıst(ə)nt];помощник;noun
associate;b2;[əʹsəʋʃııt];ассоциировать;verb
associated;b2;[əʹsəʋʃıeıtıd];связанный;adjective
association;b2;[ə͵səʋsıʹeıʃ(ə)n];ассоциация;noun
assume;b2;[əʹsju:m];предположить;verb
assumption;b2;[əʹsʌmpʃ(ə)n];предположение;noun
assurance;c1;[əʹʃʋ(ə)rəns];обеспечение;noun
assure;b2;[əʹʃʋə];заверить;verb
astonishing;b2;[əʹstɒnıʃıŋ];удивительный;adjective
asylum;c1;[əʹsaıləm];убежище;noun
at;a1;[æt];на;preposition
athlete;a2;[ʹæθli:t];спортсмен;noun
atmosphere;b1;[ʹætməsfıə];атмосфера;noun
atrocity;c1;[əʹtrɒsıtı];злодеяние;noun
attach;b1;[əʹtætʃ];придавать;verb
attachment;b2;[əʹtætʃmənt];привязанность;noun
attack;a2;[əʹtæk];атака;noun
attack;a2;[əʹtæk];атаковать;verb
attain;c1;[əʹteın];достичь;verb
attempt;b2;[əʹtempt];попытка;noun
attempt;b2;[əʹtempt];пытаться;verb
attend;a2;[əʹtend];посещать;verb
attendance;c1;[əʹtendəns];посещаемость;noun
attention;a2;[əʹtenʃ(ə)n];внимание;exclamation
attention;a2;[əʹtenʃ(ə)n];внимание;noun
attitude;b1;[ʹætıtju:d];отношение;noun
attorney;c1;[əʹtɜ:nı];адвокат;noun
attract;b1;[əʹtrækt];привлечь;verb
attraction;b1;[əʹtrækʃ(ə)n];достопримечательность;noun
attractive;a2;[əʹtræktıv];привлекательный;adjective
attribute;c1;[ʹætrıbju:t];атрибут;noun
attribute;c1;[ʹætrıbju:t];приписывать;verb
auction;b2;[ʹɔ:kʃ(ə)n];аукцион;noun
audience;a2;[ʹɔ:dıəns];аудитория;noun
audio;b2;[ʹɔ:dıəʋ];аудио;adjective
audit;c1;[ʹɔ:dıt];аудит;noun
august;a1;[ɔ:ʹgʌst];август;noun
aunt;a1;[ɑ:nt];тетя;noun
authentic;c1;[ɔ:ʹθentık];подлинный;adjective
author;a2;[ʹɔ:θə];автор;noun
authority;b1;[ɔ:ʹθɒrıtı];орган;noun
authorize;c1;[ʹɔ:θəraız];санкционировать;verb
auto;c1;[ʹɔ:təʋ];автомобиль;noun
automatic;b2;[͵ɔ:təʹmætık];автоматический;adjective
automatically;b2;[͵ɔ:təʹmætık(ə)lı];автоматически;adverb
autonomy;c1;[ɔ:ʹtɒnəmı];автономия;noun
autumn;a1;[ʹɔ:təm];осень;noun
availability;c1;[ə͵veıləʹbılıtı];наличие;noun
available;a2;[əʹveıləb(ə)l];доступный;adjective
average;a2;[ʹæv(ə)rıdʒ];средний;adjective
average;a2;[ʹæv(ə)rıdʒ];показатель;noun
average;b1;[ʹæv(ə)rıdʒ];составлять в среднем;verb
avoid;a2;[əʹvɔıd];избежать;verb
await;c1;[əʹweıt];ждать;verb
award;a2;[əʹwɔ:d];премия;noun
award;b1;[əʹwɔ:d];присуждать;verb
aware;b1;[əʹweə];осведомленный;adjective
awareness;b2;[əʹweənıs];осведомленность;noun
away;a1;[əʹweı];подальше;adverb
awful;a2;[ʹɔ:f(ə)l];ужасный;adjective
awkward;b2;[ʹɔ:kwəd];неловкий;adjective
baby;a1;[ʹbeıbı];ребенок;noun
back;a2;[bæk];задний;adjective
back;a1;[bæk];обратно;adverb
back;a1;[bæk];спина;noun
back;b2;[bæk];вернуться;verb
backdrop;c1;[ʹbækdrɒp];фон;noun
background;a2;[ʹbækgraʋnd];фон;noun
backing;c1;[ʹbækıŋ];поддержка;noun
backup;c1;[ʹbækʌp];резервное копирование;noun
backwards;b1;[ʹbækwədz];назад;adverb
bacteria;b2;[bækʹtı(ə)rıə];бактерии;noun
bad;a1;[bæd];плохой;adjective
badge;b2;[bædʒ];значок;noun
badly;a2;[ʹbædlı];плохо;adverb
bag;a1;[bæg];сумка;noun
bail;c1;[beıl];залог;noun
bake;b1;[beık];испечь;verb
balance;b1;[ʹbæləns];баланс;noun
balance;b1;[ʹbæləns];сбалансировать;verb
balanced;b2;[ʹbælənst];сбалансированный;adjective
ball;a1;[bɔ:l];мяч;noun
ballet;b2;[ʹbæleı];балет;noun
balloon;b2;[bəʹlu:n];воздушный шар;noun
ballot;c1;[ʹbælət];голосование;noun
ban;b1;[bæn];запрет;noun
ban;b1;[bæn];запретить;verb
banana;a1;[bəʹnɑ:nə];банан;noun
band;a1;[bænd];группа;noun
bank;a1;[bæŋk];банк;noun
banner;c1;[ʹbænə];баннер;noun
bar;a2;[bɑ:];бар;noun
bar;b2;[bɑ:];запретить;verb
bare;c1;[beə];голый;adjective
barely;b2;[ʹbeəlı];едва;adverb
bargain;b2;[ʹbɑ:gın];сделка;noun
barrel;c1;[ʹbærəl];баррель;noun
barrier;b2;[ʹbærıə];барьер;noun
base;b1;[beıs];база;noun
base;b1;[beıs];основывать;verb
baseball;a2;[ʹbıeısbɔ:l];бейсбол;noun
based;a2;[ʹbeɪst];основанный;adjective
basement;b2;[ʹbeısmənt];подвал;noun
basic;b1;[ʹbeısık];основной;adjective
basically;b2;[ʹbeısık(ə)lı];в основном;adverb
basis;b1;[ʹbeısıs];основа;noun
basket;b2;[ʹbɑ:skıt];корзина;noun
basketball;a2;['bɑ:skitbɔ:l];баскетбол;noun
bass;c1;[beıs];бас;noun
bat;b2;[bæt];летучая мышь;noun
bat;c1;[bæt];бить;verb
bath;a1;[bɑ:θ];ванна;noun
bathroom;a1;[ʹbɑ:θru(:)m];туалет;noun
battery;b1;[ʹbæt(ə)rı];батарея;noun
battle;b1;[ʹbætl];битва;noun
battle;b2;[ʹbætl];сражаться;verb
battlefield;c1;[ʹbætlfi:ld];поле боя;noun
bay;c1;[beı];залив;noun
be;a1;[bi:];быть;verb
be;a1;[bi:];быть;auxiliary verb
beach;a1;[bi:tʃ];пляж;noun
beam;c1;[bi:m];луч;noun
bean;a2;[bi:n];боб;noun
bear;a2;[beə];медведь;noun
bear;b2;[beə];нести;verb
beast;c1;[bi:st];зверь;noun
beat;b2;[bi:t];ритм;noun
beat;a2;[bi:t];победить;verb
beautiful;a1;[ʹbju:tıf(ə)l];красивый;adjective
beauty;b1;[ʹbju:tı];красота;noun
because;a1;[bıʹkɒz];ведь;conjunction
become;a1;[bıʹkʌm];стать;verb
bed;a1;[bed];кровать;noun
bedroom;a1;[ʹbedru(:)m];спальня;noun
bee;b1;[bi:];пчела;noun
beef;a2;[bi:f];говядина;noun
beer;a1;[bıə];пиво;noun
before;a2;[bıʹfɔ:];раньше;adverb
before;a2;[bıʹfɔ:];прежде чем;conjunction
before;a1;[bıʹfɔ:];пред;preposition
beg;b2;[beg];просить;verb
begin;a1;[bıʹgın];начать;verb
beginning;a1;[bıʹgınıŋ];начало;noun
behalf;c1;[bıʹhɑ:f];имя;noun
behave;a2;[bıʹheıv];вести себя;verb
behaviour;a2;[bıʹheıvıə];поведение;noun
behind;a1;[bıʹhaınd];позади;adverb
behind;a1;[bıʹhaınd];за спиной;preposition
being;b2;[ʹbi:ıŋ];существо;noun
belief;b1;[bıʹli:f];вера;noun
believe;a1;[bıʹli:v];верить;verb
bell;b1;[bel];колокол;noun
belong;a2;[bıʹlɒŋ];принадлежать;verb
beloved;c1;[bıʹlʌvıd];любимый;adjective
below;a1;[bıʹləʋ];ниже;adverb
below;a1;[bıʹləʋ];под;preposition
belt;a2;[belt];пояс;noun
bench;c1;[bentʃ];скамейка;noun
benchmark;c1;[ʹbentʃmɑ:k];эталон;noun
bend;b1;[bend];изгиб;noun
bend;b1;[bend];согнуть;verb
beneath;c1;[bıʹni:θ];под;preposition
beneficial;b2;[͵benıʹfıʃ(ə)l];полезный;adjective
beneficiary;c1;[͵benıʹfıʃ(ə)rı];бенефициар;noun
benefit;a2;[ʹbenıfıt];польза;noun
benefit;b1;[ʹbenıfıt];воспользоваться;verb
bent;b2;[bent];согнутый;adjective
beside;b2;[bıʹsaıd];рядом с;preposition
besides;b2;[bıʹsaıdz];кроме того;adverb
besides;b2;[bıʹsaıdz];не считая;preposition
best;a1;[best];лучший;adjective
best;a2;[best];лучше всего;adverb
best;a2;[best];все возможное;noun
bet;b2;[bet];ставка;noun
bet;b2;[bet];спорить;verb
betray;c1;[bıʹtreı];предать;verb
better;a1;[ʹbetə];лучший;adjective
better;a2;[ʹbetə];лучше;adverb
better;b1;[ʹbetə];улучшение;noun
between;a2;[bıʹtwi:n];между;adverb
between;a1;[bıʹtwi:n];между;preposition
beyond;b2;[bıʹjɒnd];за пределы;adverb
beyond;b2;[bıʹjɒnd];за пределами;preposition
bias;b2;[ʹbaıəs];предвзятость;noun
bicycle;a1;[ʹbaısık(ə)l];велосипед;noun
bid;b2;[bıd];заявка;noun
bid;b2;[bıd];предложить;verb
big;a1;[bıg];большой;adjective
bike;a1;[baık];велосипед;noun
bill;a1;[bıl];законопроект;noun
bill;b2;[bıl];выставлять счет;verb
billion;a2;[ʹbıljən];миллиард;number
bin;a2;[bın];корзина;noun
bind;c1;[baınd];связываться;verb
biography;c1;[baıʹɒgrəfı];биография;noun
biological;b2;[,baiəu'lɔdʒik(əl)];биологический;adjective
biology;a2;[baıʹɒlədʒı];биология;noun
bird;a1;[bɜ:d];птица;noun
birth;a2;[bɜ:θ];рождение;noun
