word;transcription;translation;class
ceiling;[ʹsi:lıŋ];потолок;noun
celebration;[͵selıʹbreıʃ(ə)n];празднование;noun
central;[ʹsentrəl];центральный;adjective
centre;[ʹsentə];центрировать;verb
ceremony;[ʹserımənı];церемония;noun
chain;[tʃeın];цепочка;noun
challenge;[ʹtʃælındʒ];вызов;noun
champion;[ʹtʃæmpıən];чемпион;noun
channel;[ʹtʃænl];канал;noun
chapter;[ʹtʃæptə];глава;noun
charge;[tʃɑ:dʒ];заряд;noun
charge;[tʃɑ:dʒ];взимать;verb
cheap;[tʃi:p];дешево;adverb
cheat;[tʃi:t];обман;noun
cheat;[tʃi:t];обмануть;verb
cheerful;[ʹtʃıəf(ə)l];веселый;adjective
chemical;[ʹkemık(ə)l];химический;adjective
chemical;[ʹkemık(ə)l];химикат;noun
chest;[tʃest];грудь;noun
childhood;[ʹtʃaıldhʋd];детство;noun
claim;[kleım];претензия;noun
claim;[kleım];утверждать;verb
clause;[klɔ:z];пункт;noun
clear;[klıə];очистить;verb
click;[klık];клик;noun
click;[klık];щелкнуть;verb
client;[ʹklaıənt];клиент;noun
climb;[klaım];подъем;noun
close;[kləʋs];близко;adverb
cloth;[klɒθ];ткань;noun
clue;[klu:];подсказка;noun
coach;[kəʋtʃ];тренировать;verb
coal;[kəʋl];уголь;noun
coin;[kɔın];монета;noun
collection;[kəʹlekʃ(ə)n];коллекция;noun
coloured;[ʹkʌləd];цветной;adjective
combine;[ʹkɒmbaın];объединить;verb
comment;[ʹkɒment];комментировать;verb
commercial;[kəʹmɜ:ʃ(ə)l];коммерческий;adjective
commercial;[kəʹmɜ:ʃ(ə)l];реклама;noun
commit;[kəʹmıt];совершать;verb
communication;[kə͵mju:nıʹkeıʃ(ə)n];связь;noun
comparison;[kəmʹpærıs(ə)n];сравнение;noun
competitive;[kəmʹpetıtıv];конкурентный;adjective
competitor;[kəmʹpetıtə];конкурент;noun
complaint;[kəmʹpleınt];жалоба;noun
complex;[ʹkɒmpleks];сложный;adjective
concentrate;[ʹkɒns(ə)ntreıt];сосредоточиться;verb
conclude;[kənʹklu:d];заключить;verb
conclusion;[kənʹklu:ʒ(ə)n];заключение;noun
confident;[ʹkɒnfıd(ə)nt];уверенный;adjective
confirm;[kənʹfɜ:m];подтвердить;verb
confuse;[kənʹfju:z];путать;verb
confused;[kənʹfju:zd];смущенный;adjective
connection;[kəʹnekʃ(ə)n];связь;noun
consequence;[ʹkɒnsıkwəns];следствие;noun
consist;[ʹkɒnsıst];состоять;verb
consume;[kənʹsju:m];потреблять;verb
consumer;[kənʹsju:mə];потребитель;noun
contact;[ʹkɒntækt];контакт;noun
contact;[ʹkɒntækt];связаться;verb
container;[kənʹteınə];контейнер;noun
content;[ʹkɒntent];контент;noun
continuous;[kənʹtınjʋəs];непрерывный;adjective
contrast;[ʹkɒntrɑ:st];контраст;noun
contrast;[ʹkɒntrɑ:st];контрастировать;verb
convenient;[kənʹvi:nıənt];удобный;adjective
convince;[kənʹvıns];убедить;verb
cool;[ku:l];охладить;verb
costume;[ʹkɒstjʋm];костюм;noun
cottage;[ʹkɒtıdʒ];коттедж;noun
cotton;[ʹkɒtn];хлопок;noun
count;[kaʋnt];граф;noun
countryside;[ʹkʌntrısaıd];деревня;noun
court;[kɔ:t];суд;noun
cover;[ʹkʌvə];покрытие;noun
covered;[ʹkʌvəd];крытый;adjective
cream;[kri:m];кремовый;adjective
criminal;[ʹkrımın(ə)l];уголовный;adjective
cruel;[ʹkru:əl];жестокий;adjective
cultural;[ʹkʌltʃ(ə)rəl];культурный;adjective
currency;[ʹkʌrənsı];валюта;noun
current;[ʹkʌrənt];нынешний;adjective
currently;[ʹkʌrəntlı];в настоящее время;adverb
curtain;[ʹkɜ:tn];занавес;noun
custom;[ʹkʌstəm];обычай;noun
cut;[kʌt];сокращение;noun
daily;[ʹdeılı];ежедневно;adverb
damage;[ʹdæmıdʒ];повреждение;noun
damage;[ʹdæmıdʒ];повредить;verb
deal;[di:l];сделка;noun
decade;[ʹdekeıd];десятилетие;noun
decorate;[ʹdekəreıt];украсить;verb
deep;[di:p];глубоко;adverb
define;[dıʹfaın];определить;verb
definite;[ʹdefınıt];определенный;adjective
definition;[͵defıʹnıʃ(ə)n];определение;noun
deliver;[dıʹlıvə];доставить;verb
departure;[dıʹpɑ:tʃə];отъезд;noun
despite;[dısʹpaıt];несмотря на;preposition
destination;[͵destıʹneıʃ(ə)n];назначение;noun
determine;[dıʹtɜ:mın];определить;verb
determined;[dıʹtɜ:mınd];определенный;adjective
development;[dıʹveləpmənt];развитие;noun
diagram;[ʹdaıəgræm];диаграмма;noun
diamond;[ʹdaıəmənd];алмаз;noun
difficulty;[ʹdıfık(ə)ltı];трудность;noun
direct;[d(a)ıʹrekt];напрямую;adverb
direct;[d(a)ıʹrekt];направлять;verb
directly;[d(a)ıʹrektlı];непосредственно;adverb
dirt;[dɜ:t];грязь;noun
disadvantage;[͵dısədʹvɑ:ntıdʒ];недостаток;noun
disappointed;[͵dısəʹpɔıntıd];разочарованный;adjective
disappointing;[͵dısəʹpɔıntıŋ];неутешительный;adjective
discount;[ʹdıskaʋnt];скидка;noun
dislike;[dısʹlaık];неприязнь;noun
dislike;[dısʹlaık];ненавидеть;verb
divide;[dıʹvaıd];разделить;verb
documentary;[͵dɒkjʋʹment(ə)rı];документальный фильм;noun
donate;[də(ʋ)ʹneıt];пожертвовать;verb
double;[ʹdʌbl];дважды;adverb
doubt;[daʋt];сомнение;noun
doubt;[daʋt];сомневаться;verb
dressed;[drest];одетый;adjective
drop;[drɒp];падение;noun
drum;[drʌm];барабан;noun
drunk;[drʌŋk];пьяный;adjective
due;[dju:];должный;adjective
dust;[dʌst];пыль;noun
duty;[ʹdju:tı];обязанность;noun
earthquake;[ʹɜ:θkweık];землетрясение;noun
eastern;[ʹi:stən];восточный;adjective
economic;[͵ekəʹnɒmık];экономический;adjective
economy;[ıʹkɒnəmı];экономика;noun
edge;[edʒ];край;noun
editor;[ʹedıtə];редактор;noun
educate;[ʹedjʋkeıt];воспитывать;verb
educated;[ʹedjʋkeıtıd];образованный;adjective
educational;[͵edjʋʹkeıʃ(ə)nəl];образовательный;adjective
effective;[ıʹfektıv];эффективный;adjective
effectively;[i'fektivli];эффективно;adverb
effort;[ʹefət];усилие;noun
election;[ıʹlekʃ(ə)n];выбор;noun
element;[ʹelımənt];элемент;noun
embarrassed;[im'bærəst];смущенный;adjective
embarrassing;[ımʹbærəsıŋ];неловкий;adjective
emergency;[ıʹmɜ:dʒ(ə)nsı];чрезвычайное положение;noun
emotion;[ıʹməʋʃ(ə)n];эмоция;noun
employment;[ımʹplɔımənt];занятость;noun
empty;[ʹemptı];пустовать;verb
encourage;[ınʹkʌrıdʒ];поощрять;verb
enemy;[ʹenəmı];враг;noun
engaged;[ınʹgeıdʒd];занятый;adjective
engineering;[͵endʒıʹnı(ə)rıŋ];инженерия;noun
entertain;[͵entəʹteın];развлекать;verb
entertainment;[͵entəʹteınmənt];развлечение;noun
entrance;[ʹentrəns];вход;noun
entry;[ʹentrı];вступление;noun
environmental;[ın͵vaı(ə)rənʹmentl];экологический;adjective
episode;[ʹepısəʋd];эпизод;noun
equal;[ʹi:kwəl];равный;adjective
equal;[ʹi:kwəl];равняться;verb
equally;[ʹi:kwəlı];одинаково;adverb
escape;[ıʹskeıp];побег;noun
escape;[ıʹskeıp];избежать;verb
essential;[ıʹsenʃ(ə)l];важный;adjective
eventually;[ıʹventʃʋ(ə)lı];в конце концов;adverb
examine;[ıgʹzæmın];изучить;verb
except;[ıkʹsept];кроме;conjunction
exchange;[ıksʹtʃeındʒ];обмен;noun
exchange;[ıksʹtʃeındʒ];обмениваться;verb
excitement;[ıkʹsaıtmənt];волнение;noun
exhibition;[͵eksıʹbıʃ(ə)n];выставка;noun
expand;[ıkʹspænd];расширить;verb
expected;[ıkʹspektıd];исключенный;adjective
expedition;[͵ekspıʹdıʃ(ə)n];экспедиция;noun
experience;[ıkʹspı(ə)rıəns];испытывать;verb
experienced;[ıkʹspı(ə)rıənst];опытный;adjective
experiment;[ıkʹsperımənt];экспериментировать;verb
explode;[ıkʹspləʋd];взорваться;verb
explore;[ıkʹsplɔ:];исследовать;verb
explosion;[ıkʹspləʋʒ(ə)n];взрыв;noun
export;[ʹekspɔ:t];экспорт;noun
export;[ʹekspɔ:t];экспортировать;verb
extra;[ʹekstrə];дополнительно;adverb
extra;[ʹekstrə];доплата;noun
face;[feıs];сталкиваться с;verb
fairly;[ʹfeəlı];довольно;adverb
familiar;[fəʹmılıə];знакомый;adjective
fancy;[ʹfænsı];причудливый;adjective
fancy;[ʹfænsı];хотеть;verb
far;[fɑ:];далекий;adjective
fascinating;[ʹfæsıneıtıŋ];увлекательный;adjective
fashionable;[ʹfæʃ(ə)nəb(ə)l];модный;adjective
fasten;[ʹfɑ:s(ə)n];пристегнуть;verb
favour;[ʹfeıvə];польза;noun
fear;[fıə];бояться;verb
feature;[ʹfi:tʃə];иметь;verb
fence;[fens];забор;noun
fighting;[ʹfaıtıŋ];бой;noun
file;[faıl];файл;noun
financial;[f(a)ıʹnænʃ(ə)l];финансовый;adjective
fire;[ʹfaıə];уволить;verb
fitness;[ʹfıtnıs];фитнес;noun
fixed;[fıkst];фиксированный;adjective
flag;[flæg];флаг;noun
flood;[flʌd];наводнение;noun
flood;[flʌd];затопить;verb
flour;[ʹflaʋə];мука;noun
flow;[fləʋ];поток;noun
flow;[fləʋ];течь;verb
fold;[fəʋld];сложить;verb
folk;[fəʋk];народный;adjective
folk;[fəʋk];люди;noun
following;[ʹfɒləʋıŋ];следование;noun
force;[fɔ:s];сила;noun
force;[fɔ:s];заставить;verb
forever;[fəʹrevə];навсегда;adverb
frame;[freım];рамка;noun
frame;[freım];подставить;verb
freeze;[fri:z];заморозить;verb
frequently;['fri:kwəntli];часто;adverb
friendship;[ʹfrendʃıp];дружба;noun
frighten;[͵fraıtn];пугать;verb
frightened;[ʹfraıtnd];испуганный;adjective
frightening;[ʹfraıtnıŋ];пугающий;adjective
frozen;[ʹfrəʋz(ə)n];замороженный;adjective
fry;[fraı];жарить;verb
fuel;[fjʋəl];топливо;noun
function;[ʹfʌŋkʃ(ə)n];функция;noun
fur;[fɜ:];мех;noun
further;[ʹfɜ:ðə];далее;adverb
garage;[ʹgærɑ:ʒ];гараж;noun
gather;[ʹgæðə];собрать;verb
generally;[ʹdʒen(ə)rəlı];как правило;adverb
generation;[͵dʒenəʹreıʃ(ə)n];поколение;noun
generous;[ʹdʒen(ə)rəs];щедрый;adjective
gentle;[dʒentl];нежный;adjective
gentleman;[ʹdʒentlmən];джентльмен;noun
ghost;[gəʋst];призрак;noun
giant;[ʹdʒaıənt];гигантский;adjective
giant;[ʹdʒaıənt];гигант;noun
glad;[glæd];рад;adjective
global;[ʹgləʋb(ə)l];глобальный;adjective
glove;[glʌv];перчатка;noun
go;[gəʋ];попытка;noun
goods;[gʋdz];товары;noun
grade;[greıd];класс;noun
graduate;[ʹgrædʒʋıt];выпускник;noun
graduate;[ʹgrædʒʋıt];окончить;verb
grain;[greın];зерно;noun
grateful;[ʹgreıtf(ə)l];благодарный;adjective
growth;[grəʋθ];рост;noun
guard;[gɑ:d];охрана;noun
guard;[gɑ:d];охранять;verb
guilty;[ʹgıltı];виновный;adjective
hand;[hænd];передать;verb
hang;[hæŋ];повесить;verb
happiness;[ʹhæpınıs];счастье;noun
hardly;[ʹhɑ:dlı];вряд ли;adverb
hate;[heıt];ненависть;noun
head;[hed];отправиться;verb
headline;[ʹhedlaın];заголовок;noun
heating;[ʹhi:tıŋ];отопление;noun
heavily;[ʹhevılı];сильно;adverb
helicopter;[ʹhelıkɒptə];вертолет;noun
highlight;[ʹhaılaıt];изюминка;noun
highlight;[ʹhaılaıt];подчеркнуть;verb
highly;[ʹhaılı];очень;adverb
hire;[ʹhaıə];нанять;verb
historic;[hıʹstɒrık];исторический;adjective
historical;[hıʹstɒrık(ə)l];исторический;adjective
honest;[ʹɒnıst];честный;adjective
horrible;[ʹhɒrəb(ə)l];ужасный;adjective
horror;[ʹhɒrə];ужас;noun
host;[həʋst];хозяин;noun
hunt;[hʌnt];охотиться;verb
hurricane;[ʹhʌrıkən];ураган;noun
hurry;[ʹhʌrı];спешка;noun
hurry;[ʹhʌrı];спешить;verb
identity;[aıʹdentıtı];идентичность;noun
ignore;[ıgʹnɔ:];игнорировать;verb
illegal;[ıʹli:g(ə)l];незаконный;adjective
imaginary;[ıʹmædʒ(ə)n(ə)rı];воображаемый;adjective
immediate;[ıʹmi:dıət];немедленный;adjective
immigrant;[ʹımıgrənt];иммигрант;noun
impact;[ʹımpækt];влияние;noun
impact;[ʹımpækt];влиять;verb
import;[ʹımpɔ:t];импорт;noun
import;[ʹımpɔ:t];импортировать;verb
importance;[ımʹpɔ:t(ə)ns];важность;noun
impression;[ımʹpreʃ(ə)n];впечатление;noun
impressive;[ımʹpresıv];впечатляющий;adjective
improvement;[ımʹpru:vmənt];улучшение;noun
incredibly;[ınʹkredəblı];невероятно;adverb
indeed;[ınʹdi:d];действительно;adverb
indicate;[ʹındıkeıt];указывать;verb
indirect;[͵ındıʹrekt];косвенный;adjective
indoor;[ʹındɔ:];крытый;adjective
indoors;[͵ınʹdɔ:z];в помещении;adverb
influence;[ʹınflʋəns];влияние;noun
influence;[ʹınflʋəns];влиять на;verb
ingredient;[ınʹgri:dıənt];ингредиент;noun
injure;[ʹındʒə];травмировать;verb
injured;[ʹındʒəd];раненый;adjective
innocent;[ʹınəs(ə)nt];невинный;adjective
intelligence;[ınʹtelıdʒ(ə)ns];интеллект;noun
intend;[ınʹtend];собираться;verb
intention;[ınʹtenʃ(ə)n];намерение;noun
invest;[ınʹvest];инвестировать;verb
investigate;[ınʹvestıgeıt];расследовать;verb
involved;[ınʹvɒlvd];участвующий;adjective
iron;[ʹaıən];железо;noun
iron;[ʹaıən];гладить;verb
issue;[ʹıʃu:];вопрос;noun
it;[ıt];речь;noun
journal;[ʹdʒɜ:n(ə)l];журнал;noun
judge;[dʒʌdʒ];судья;noun
judge;[dʒʌdʒ];судить;verb
keen;[ki:n];острый;adjective
key;[ki:];запирать;verb
keyboard;[ʹki:bɔ:d];клавиатура;noun
kick;[kık];удар;noun
kick;[kık];надрать;verb
killing;[ʹkılıŋ];убийство;noun
kind;[kaınd];добрый;adjective
kiss;[kıs];поцелуй;noun
kiss;[kıs];поцеловать;verb
knock;[nɒk];стук;noun
label;[ʹleıb(ə)l];лейбл;noun
label;[ʹleıb(ə)l];маркировать;verb
laboratory;[ləʹbɒrətrı];лаборатория;noun
lack;[læk];отсутствие;noun
lack;[læk];отсутствовать;verb
latest;[ʹleıtıst];самый последний;adjective
lay;[leı];заложить;verb
layer;[ʹleıə];слой;noun
lead;[led];свинец;noun
leading;[ʹledıŋ];ведущий;adjective
leaf;[li:f];лист;noun
leather;[ʹleðə];кожа;noun
legal;[ʹli:g(ə)l];правовой;adjective
leisure;[ʹleʒə];досуг;noun
length;[leŋθ];длина;noun
level;[ʹlev(ə)l];ровная;adjective
lie;[laı];ложь;noun
lie;[laı];лгать;verb
like;[laık];подобие;noun
limit;[ʹlımıt];предел;noun
limit;[ʹlımıt];ограничить;verb
lip;[lıp];губа;noun
liquid;[ʹlıkwıd];жидкий;adjective
liquid;[ʹlıkwıd];жидкость;noun
literature;[ʹlıt(ə)rətʃə];литература;noun
live;[lıv];живой;adjective
live;[lıv];вживую;adverb
living;[ʹlıvıŋ];живой;adjective
living;[ʹlıvıŋ];жизнь;noun
local;[ʹləʋk(ə)l];местный житель;noun
locate;[ləʋʹkeıt];найти;verb
located;[ləʊʹkeɪtɪd];расположенный;adjective
location;[ləʋʹkeıʃ(ə)n];место;noun
lonely;[ʹləʋnlı];одинокий;adjective
loss;[lɒs];потеря;noun
luxury;[ʹlʌkʃ(ə)rı];роскошный;adjective
luxury;[ʹlʌkʃ(ə)rı];роскошь;noun
mad;[mæd];безумный;adjective
magic;[ʹmædʒık];волшебный;adjective
magic;[ʹmædʒık];магия;noun
mainly;[ʹmeınlı];в основном;adverb
mall;[mɔ:l];торговый центр;noun
management;[ʹmænıdʒmənt];управление;noun
market;[ʹmɑ:kıt];продавать;verb
marketing;[ʹmɑ:kıtıŋ];маркетинг;noun
marriage;[ʹmærıdʒ];брак;noun
meanwhile;[ʹmi:nwaıl];между тем;adverb
measure;[ʹmeʒə];мера;noun
measure;[ʹmeʒə];измерить;verb
medium;[ʹmi:dıəm];средний;adjective
mental;[mentl];психический;adjective
mention;[ʹmenʃ(ə)n];упоминание;noun
mess;[mes];беспорядок;noun
mild;[maıld];мягкий;adjective
mine;[maın];шахта;noun
mix;[mıks];смесь;noun
mix;[mıks];смешивать;verb
mixture;[ʹmıkstʃə];смесь;noun
mood;[mu:d];настроение;noun
move;[mu:v];шаг;noun
mud;[mʌd];грязь;noun
murder;[ʹmɜ:də];убийство;noun
murder;[ʹmɜ:də];убить;verb
muscle;[ʹmʌs(ə)l];мышца;noun
musical;[ʹmju:zık(ə)l];мюзикл;noun
mystery;[ʹmıst(ə)rı];тайна;noun
nail;[neıl];ноготь;noun
narrative;[ʹnærətıv];повествовательный;adjective
narrative;[ʹnærətıv];повествование;noun
nation;[ʹneıʃ(ə)n];нация;noun
native;[ʹneıtıv];родной;adjective
native;[ʹneıtıv];уроженец;noun
naturally;[ʹnætʃ(ə)rəlı];естественно;adverb
necessarily;[ʹnesıs(ə)rılı];обязательно;adverb
need;[ni:d];нужно;modal verb
needle;[ni:dl];игла;noun
neighbourhood;[ʹneıbəhʋd];район;noun
neither;[ʹnaıðə];тоже;adverb
net;[net];сеть;noun
next;[nekst];следующий;noun
nor;[nɔ:];тоже;adverb
nor;[nɔ:];или;conjunction
normal;[ʹnɔ:m(ə)l];норма;noun
northern;[ʹnɔ:ðən];северный;adjective
note;[nəʋt];отметить;verb
now;[naʋ];раз уж;conjunction
nuclear;[ʹnju:klıə];ядерный;adjective
obvious;[ʹɒbvıəs];очевидный;adjective
obviously;[ʹɒbvıəslı];очевидно;adverb
occasion;[əʹkeıʒ(ə)n];случай;noun
occur;[əʹkɜ:];происходить;verb
odd;[ɒd];странный;adjective
official;[əʹfıʃ(ə)l];официальный;adjective
old-fashioned;[əʋld]-fashioned;старомодный;adjective
once;[wʌns];как только;conjunction
operation;[͵ɒpəʹreıʃ(ə)n];операция;noun
organized;[ʹɔ:gənaızd];организованный;adjective
organizer;[ʹɔ:gənaızə];организатор;noun
original;[əʹrıdʒın(ə)l];оригинал;noun
originally;[əʹrıdʒın(ə)lı];первоначально;adverb
ought;[ɔ:t];должен;modal verb
ours;[ʹaʋəz];наш;pronoun
outdoor;[͵aʋtʹdɔ:];наружный;adjective
outdoors;[aʋtʹdɔ:z];на открытом воздухе;adverb
pack;[pæk];пакет;noun
package;[ʹpækıdʒ];пакет;noun
painful;[ʹpeınf(ə)l];болезненный;adjective
pale;[peıl];бледный;adjective
pan;[pæn];пан;noun
participate;[pɑ:ʹtısıpeıt];участвовать;verb
particularly;[pəʹtıkjʋləlı];особенно;adverb
pass;[pɑ:s];пропуск;noun
passion;[ʹpæʃ(ə)n];страсть;noun
path;[pɑ:θ];путь;noun
payment;[ʹpeımənt];оплата;noun
peaceful;[ʹpi:sf(ə)l];мирный;adjective
percentage;[pəʹsentıdʒ];процент;noun
perfectly;[ʹpɜ:fıktlı];прекрасно;adverb
performance;[pəʹfɔ:məns];производительность;noun
personally;[ʹpɜ:s(ə)n(ə)lı];лично;adverb
persuade;[pəʹsweıd];убедить;verb
photographer;[fəʹtɒgrəfə];фотограф;noun
photography;[fəʹtɒgrəfı];фотография;noun
pin;[pın];булавка;noun
pin;[pın];повесить;verb
pipe;[paıp];труба;noun
place;[pleıs];разместить;verb
planning;[ʹplænıŋ];планирование;noun
pleasant;[ʹplez(ə)nt];приятный;adjective
pleasure;[ʹpleʒə];удовольствие;noun
plenty;[ʹplentı];многие;pronoun
plot;[plɒt];сюжет;noun
plus;[plʌs];плюс к;preposition
poem;[ʹpəʋım];стихотворение;noun
poet;[ʹpəʋıt];поэт;noun
poetry;[ʹpəʋıtrı];поэзия;noun
point;[pɔınt];указать;verb
poison;[ʹpɔız(ə)n];яд;noun
poison;[ʹpɔız(ə)n];отравить;verb
poisonous;[ʹpɔız(ə)nəs];ядовитый;adjective
policy;[ʹpɒlısı];политик;noun
political;[pəʹlıtık(ə)l];политический;adjective
politician;[͵pɒlıʹtıʃ(ə)n];политик;noun
politics;[ʹpɒlıtıks];политика;noun
port;[pɔ:t];порт;noun
portrait;[ʹpɔ:trıt];портрет;noun
possibly;[ʹpɒsəblı];возможно;adverb
pot;[pɒt];горшок;noun
pour;[pɔ:];налить;verb
poverty;[ʹpɒvətı];нищета;noun
powder;[ʹpaʋdə];порошок;noun
powerful;[ʹpaʋəf(ə)l];мощный;adjective
practical;[ʹpræktık(ə)l];практический;adjective
pray;[preı];молиться;verb
prayer;[preə];молитва;noun
prediction;[prıʹdıkʃ(ə)n];предсказание;noun
prepared;[prıʹpeəd];готовый;adjective
presentation;[͵prez(ə)nʹteıʃ(ə)n];презентация;noun
press;[pres];пресс;noun
press;[pres];нажать;verb
pressure;[ʹpreʃə];давление;noun
pretend;[prıʹtend];притворяться;verb
previous;[ʹpri:vıəs];предыдущий;adjective
previously;[ʹpri:vıəslı];ранее;adverb
priest;[pri:st];священник;noun
primary;[ʹpraım(ə)rı];первичный;adjective
prince;[prıns];принц;noun
princess;[͵prınʹses];принцесса;noun
printing;[ʹprıntıŋ];печать;noun
prisoner;[ʹprız(ə)nə];заключенный;noun
private;[ʹpraıvıt];частный;adjective
producer;[prəʹdju:sə];продюсер;noun
production;[prəʹdʌkʃ(ə)n];производство;noun
profession;[prəʹfeʃ(ə)n];профессия;noun
profit;[ʹprɒfıt];прибыль;noun
program;[ʹprəʋgræm];программировать;verb
promote;[prəʹməʋt];способствовать;verb
proper;[ʹprɒpə];надлежащий;adjective
properly;[ʹprɒpəlı];правильно;adverb
property;[ʹprɒpətı];собственность;noun
protest;[ʹprəʋtest];протест;noun
protest;[ʹprəʋtest];протестовать;verb
proud;[praʋd];гордый;adjective
prove;[pru:v];доказать;verb
pull;[pʋl];притяжение;noun
punish;[ʹpʌnıʃ];наказать;verb
punishment;[ʹpʌnıʃmənt];наказание;noun
push;[pʋʃ];толчок;noun
qualification;[͵kwɒlıfıʹkeıʃ(ə)n];квалификация;noun
qualified;[ʹkwɒlıfaıd];квалифицированный;adjective
qualify;[ʹkwɒlıfaı];квалифицироваться;verb
queue;[kju:];очередь;noun
queue;[kju:];стоять в очереди;verb
quit;[kwıt];бросить;verb
quotation;[kwəʋʹteıʃ(ə)n];цитата;noun
quote;[kwəʋt];цитата;noun
quote;[kwəʋt];цитировать;verb
racing;[ʹreısıŋ];гонка;noun
range;[reındʒ];диапазон;noun
rare;[reə];редкий;adjective
rarely;[ʹreəlı];редко;adverb
reaction;[rıʹækʃ(ə)n];реакция;noun
reality;[rıʹælıtı];реальность;noun
receipt;[rıʹsi:t];получение;noun
recommendation;[͵rekəmenʹdeıʃ(ə)n];рекомендация;noun
reference;[ʹref(ə)rəns];ссылка;noun
reflect;[rıʹflekt];отражать;verb
regularly;[ʹregjʋləlı];регулярно;adverb
