word;transcription;translation;class
beam;[bi:m];луч;noun
beast;[bi:st];зверь;noun
behalf;[bıʹhɑ:f];имя;noun
beloved;[bıʹlʌvıd];любимый;adjective
bench;[bentʃ];скамейка;noun
benchmark;[ʹbentʃmɑ:k];эталон;noun
beneath;[bıʹni:θ];под;preposition
beneficiary;[͵benıʹfıʃ(ə)rı];бенефициар;noun
betray;[bıʹtreı];предать;verb
bind;[baınd];связываться;verb
biography;[baıʹɒgrəfı];биография;noun
bishop;[ʹbıʃəp];епископ;noun
bizarre;[bıʹzɑ:];странный;adjective
blade;[bleıd];лезвие;noun
blast;[blɑ:st];взрыв;noun
blast;[blɑ:st];взорвать;verb
bleed;[bli:d];кровоточить;verb
blend;[blend];смесь;noun
blend;[blend];сочетаться;verb
bless;[bles];благословить;verb
blessing;[ʹblesıŋ];благословение;noun
boast;[bəʋst];похвастаться;verb
bonus;[ʹbəʋnəs];бонус;noun
boom;[bu:m];бум;noun
bounce;[baʋns];отскакивать;verb
boundary;[ʹbaʋnd(ə)rı];граница;noun
bow;[bəʋ];лук;noun
bow;[bəʋ];кланяться;verb
breach;[bri:tʃ];нарушение;noun
breach;[bri:tʃ];нарушать;verb
breakdown;[ʹbreıkdaʋn];разбивка;noun
breakthrough;[ʹbreıkθru:];прорыв;noun
breed;[bri:d];порода;noun
breed;[bri:d];размножаться;verb
broadband;[ʹbrɔːdbænd];широкополосная связь;noun
browser;[ʹbraʋzə];браузер;noun
brutal;[ʹbru:tl];жестокий;adjective
buck;[bʌk];бак;noun
buddy;[ʹbʌdı];приятель;noun
buffer;[ʹbʌfə];буфер;noun
bulk;[bʌlk];большая часть;noun
burden;[ʹbɜ:dn];бремя;noun
bureaucracy;[͵bjʋ(ə)ʹrɒkrəsı];бюрократия;noun
burial;[ʹberıəl];захоронение;noun
burst;[bɜ:st];лопнуть;verb
cabinet;[ʹkæb(ı)nıt];кабинет;noun
calculation;[͵kælkjʋʹleıʃ(ə)n];расчет;noun
canvas;[ʹkænvəs];холст;noun
capability;[͵keıpəʹbılıtı];возможность;noun
capitalism;[ʹkæpıtlız(ə)m];капитализм;noun
capitalist;[ʹkæpıtlıst];капиталистический;adjective
cargo;[ʹkɑ:gəʋ];груз;noun
carriage;[ʹkærıdʒ];перевозка;noun
carve;[kɑ:v];вырезать;verb
casino;[kəʹsi:nəʋ];казино;noun
casualty;[ʹkæʒʋəltı];жертва;noun
catalogue;[ʹkætəlɒg];каталог;noun
cater;[ʹkeıtə];обслуживать;verb
cattle;[ʹkætl];скот;noun
caution;[ʹkɔ:ʃ(ə)n];осторожность;noun
cautious;[ʹkɔ:ʃəs];осторожный;adjective
cease;[si:s];прекратить;verb
cemetery;[ʹsemıtrı];кладбище;noun
chamber;[ʹtʃeımbə];палата;noun
chaos;[ʹkeıɒs];хаос;noun
characterize;[ʹkærıktəraız];характеризовать;verb
charm;[tʃɑ:m];очарование;noun
charter;[ʹtʃɑ:tə];хартия;noun
chronic;[ʹkrɒnık];хронический;adjective
chunk;[tʃʌnk];кусок;noun
circulate;[ʹsɜ:kjʋleıt];циркулировать;verb
circulation;[͵sɜ:kjʋʹleıʃ(ə)n];кровообращение;noun
citizenship;[ʹsıtız(ə)nʃıp];гражданство;noun
civic;[ʹsıvık];гражданский;adjective
civilian;[sıʹvılıən];гражданский;adjective
civilian;[sıʹvılıən];гражданское лицо;noun
clarity;[ʹklærıtı];ясность;noun
clash;[klæʃ];столкновение;noun
classification;[͵klæsıfıʹkeıʃ(ə)n];классификация;noun
cling;[klıŋ];цепляться;verb
clinical;[ʹklınık(ə)l];клинический;adjective
closure;[ʹkləʋʒə];закрытие;noun
cluster;[ʹklʌstə];кластер;noun
coalition;[͵kəʋəʹlıʃ(ə)n];коалиция;noun
coastal;[ʹkəʋstl];прибрежный;adjective
cocktail;[ʹkɒkteıl];коктейль;noun
cognitive;[ʹkɒgnıtıv];когнитивный;adjective
coincide;[͵kəʋınʹsaıd];совпадать;verb
collaborate;[kəʹlæbəreıt];сотрудничать;verb
collaboration;[kə͵læbəʹreıʃ(ə)n];сотрудничество;noun
collective;[kəʹlektıv];коллективный;adjective
collision;[kəʹlıʒ(ə)n];столкновение;noun
colonial;[kəʹləʋnıəl];колониальный;adjective
columnist;[ʹkɒləm(n)ıst];обозреватель;noun
combat;[ʹkɒmbæt];бой;noun
combat;[ʹkɒmbæt];бороться с;verb
commence;[kəʹmens];начать;verb
commentary;[ʹkɒmənt(ə)rı];комментарий;noun
commentator;[ʹkɒmənteıtə];комментатор;noun
commerce;[ʹkɒmɜ:s];торговля;noun
commissioner;[kəʹmıʃ(ə)nə];комиссар;noun
commodity;[kəʹmɒdıtı];товар;noun
communist;[ʹkɒmjʋnıst];коммунистический;adjective
companion;[kəmʹpænıən];компаньон;noun
comparable;[ʹkʌmp(ə)rəb(ə)l];сопоставимый;adjective
compassion;[kəmʹpæʃ(ə)n];сострадание;noun
compel;[kəmʹpel];заставить;verb
compelling;[kəmʹpelıŋ];убедительный;adjective
compensate;[ʹkɒmpənseıt];компенсировать;verb
compensation;[͵kɒmpənʹseıʃ(ə)n];компенсация;noun
competence;[ʹkɒmpıt(ə)ns];компетенция;noun
competent;[ʹkɒmpıt(ə)nt];компетентный;adjective
compile;[kəmʹpaıl];составить;verb
complement;[ʹkɒmplımənt];дополнять;verb
complexity;[kəmʹpleksıtı];сложность;noun
compliance;[kəmʹplaıəns];соблюдение;noun
complication;[͵kɒmplıʹkeıʃ(ə)n];осложнение;noun
comply;[kəmʹplaı];соблюдать;verb
composition;[͵kɒmpəʹzıʃ(ə)n];состав;noun
compromise;[ʹkɒmprəmaız];компромисс;noun
compromise;[ʹkɒmprəmaız];поставить под угрозу;verb
compute;[kəmʹpju:t];вычислить;verb
conceal;[kənʹsi:l];скрыть;verb
concede;[kənʹsi:d];признать;verb
conceive;[kənʹsi:v];зачать;verb
conception;[kənʹsepʃ(ə)n];концепция;noun
concession;[kənʹseʃ(ə)n];концессия;noun
condemn;[kənʹdem];осуждать;verb
confer;[kənʹfɜ:];давать;verb
confession;[kənʹfeʃ(ə)n];признание;noun
configuration;[kən͵fıgjʋʹreıʃ(ə)n];конфигурация;noun
confine;[ʹkɒnfaın];ограничиться;verb
confirmation;[͵kɒnfəʹmeıʃ(ə)n];подтверждение;noun
confront;[kənʹfrʌnt];противостоять;verb
confrontation;[͵kɒnfrənʹteıʃ(ə)n];конфронтация;noun
congratulate;[kənʹgrætjʋleıt];поздравить;verb
congregation;[͵kɒŋgrıʹgeıʃ(ə)n];конгрегация;noun
congressional;[kənʹgreʃ(ə)nəl];конгрессный;adjective
conquer;[ʹkɒŋkə];завоевать;verb
conscience;[ʹkɒnʃ(ə)ns];совесть;noun
consciousness;[ʹkɒnʃəsnıs];сознание;noun
consecutive;[kənʹsekjʋtıv];последовательный;adjective
consensus;[kənʹsensəs];консенсус;noun
consent;[kənʹsent];согласие;noun
consent;[kənʹsent];соглашаться;verb
conserve;[ʹkɒnsɜ:v];сохранить;verb
consistency;[kənʹsıst(ə)nsı];последовательность;noun
consolidate;[kənʹsɒlıdıt];консолидировать;verb
constituency;[kənʹstıtʃʋənsı];избирательный округ;noun
constitute;[ʹkɒnstıtju:t];составлять;verb
constitution;[͵kɒnstıʹtju:ʃ(ə)n];конституция;noun
constitutional;[͵kɒnstıʹtju:ʃ(ə)nəl];конституционный;adjective
constraint;[kənʹstreınt];ограничение;noun
consultation;[͵kɒns(ə)lʹteıʃ(ə)n];консультация;noun
contemplate;[ʹkɒntəmpleıt];созерцать;verb
contempt;[kənʹtempt];презрение;noun
contend;[kənʹtend];утверждать;verb
contender;[kənʹtendə];претендент;noun
content;[ʹkɒntent];довольный;adjective
contention;[kənʹtenʃ(ə)n];утверждение;noun
continually;[kənʹtınjʋəlı];постоянно;adverb
contractor;[kənʹtræktə];подрядчик;noun
contradiction;[͵kɒntrəʹdıkʃ(ə)n];противоречие;noun
contrary;[ʹkɒntrərı];противоположный;adjective
contrary;[ʹkɒntrərı];противоположность;noun
contributor;[kənʹtrıbjʋtə];вклад;noun
conversion;[kənʹvɜ:ʃ(ə)n];конверсия;noun
convict;[ʹkɒnvıkt];осудить;verb
conviction;[kənʹvıkʃ(ə)n];убеждение;noun
cooperate;[kəu'ɔp(ə)reit];сотрудничать;verb
cooperative;[kəu'ɔp(ə)rətiv];кооперативный;adjective
coordinate;[kəʋʹɔ:dınıt];координировать;verb
coordination;[kəʋ͵ɔ:dıʹneıʃ(ə)n];координация;noun
coordinator;[kəʋʹɔ:dıneıtə];координатор;noun
cop;[kɒp];коп;noun
copper;[ʹkɒpə];медь;noun
copyright;[ʹkɒpıraıt];копирайт;noun
correction;[kəʹrekʃ(ə)n];коррекция;noun
correlate;[ʹkɒrıleıt];коррелировать;verb
correlation;[͵kɒrıʹleıʃ(ə)n];корреляция;noun
correspond;[͵kɒrıʹspɒnd];соответствовать;verb
correspondence;[͵kɒrıʹspɒnd(ə)ns];переписка;noun
correspondent;[͵kɒrıʹspɒnd(ə)nt];корреспондент;noun
corresponding;[͵kɒrıʹspɒndıŋ];соответствующий;adjective
corrupt;[kəʹrʌpt];коррумпированный;adjective
corruption;[kəʹrʌpʃ(ə)n];коррупция;noun
costly;[ʹkɒstlı];дорогостоящий;adjective
councillor;[ʹkaʋns(ə)lə];советник;noun
counselling;[ʹkaʊnsəlɪŋ];консультирование;noun
counsellor;[ʹkaʋns(ə)lə];советник;noun
counter;[ʹkaʋntə];противостоять;verb
counterpart;[ʹkaʋntəpɑ:t];коллега;noun
countless;[ʹkaʋntlıs];бесчисленный;adjective
coup;[ku:];переворот;noun
courtesy;[ʹkɜ:tısı];вежливость;noun
craft;[krɑ:ft];создать;verb
crawl;[krɔ:l];сканировать;verb
creator;[krıʹeıtə];создатель;noun
credibility;[͵kredəʹbılıtı];авторитет;noun
credible;[ʹkredəb(ə)l];достоверный;adjective
creep;[kri:p];ползти;verb
critique;[krıʹti:k];критик;noun
crown;[kraʋn];корона;noun
crude;[kru:d];сырой;adjective
crush;[krʌʃ];раздавить;verb
crystal;[ʹkrıstl];кристалл;noun
cult;[kʌlt];культовый;adjective
cult;[kʌlt];культ;noun
cultivate;[ʹkʌltıveıt];культивировать;verb
curiosity;[͵kjʋ(ə)rıʹɒsıtı];любопытство;noun
custody;[ʹkʌstədı];заключение;noun
cutting;[ʹkʌtıŋ];резка;noun
cynical;[ʹsınık(ə)l];циничный;adjective
dam;[dæm];плотина;noun
damaging;[ʹdæmıdʒıŋ];разрушительный;adjective
dawn;[dɔ:n];рассвет;noun
debris;[ʹde(ı)bri:];мусор;noun
debut;[ʹdeıb(j)u:];дебют;noun
decision-making;[dıʹsıʒ(ə)n]-[ʹmeıkıŋ];принятие решений;noun
decisive;[dıʹsaısıv];решающий;adjective
declaration;[͵dekləʹreıʃ(ə)n];декларация;noun
dedicated;[ʹdedıkeıtıd];посвященный;adjective
dedication;[dedıʹkeıʃ(ə)n];преданность;noun
deed;[di:d];дело;noun
deem;[di:m];считать;verb
default;[dıʹfɔ:lt];дефолт;noun
defect;[dıʹfekt];дефект;noun
defensive;[dıʹfensıv];оборонительный;adjective
deficiency;[dıʹfıʃ(ə)nsı];дефицит;noun
deficit;[ʹdefısıt];дефицит;noun
defy;[dıʹfaı];бросать вызов;verb
delegate;[ʹdelıgıt];делегат;noun
delegation;[͵delıʹgeıʃ(ə)n];делегация;noun
delicate;[ʹdelıkıt];деликатный;adjective
demon;[ʹdi:mən];демон;noun
denial;[dıʹnaı(ə)l];отрицание;noun
denounce;[dıʹnaʋns];осуждать;verb
dense;[dens];плотный;adjective
density;[ʹdensıtı];плотность;noun
dependence;[dıʹpendəns];зависимость;noun
depict;[dıʹpıkt];изображать;verb
deploy;[dıʹplɔı];развернуть;verb
deployment;[dıʹplɔımənt];развертывание;noun
deposit;[dıʹpɒzıt];внести;verb
deprive;[dıʹpraıv];лишить;verb
deputy;[ʹdepjʋtı];заместитель;noun
descend;[dıʹsend];спускаться;verb
descent;[dıʹsent];происхождение;noun
designate;[ʹdezıgnıt];назначить;verb
desirable;[dıʹzaı(ə)rəbl];желательный;adjective
desktop;[ʹdesktɒp];рабочий стол;noun
destructive;[dısʹtrʌktıv];разрушительный;adjective
detain;[dıʹteın];задержать;verb
detection;[dıʹtekʃ(ə)n];обнаружение;noun
detention;[dıʹtent(ə)n];задержание;noun
deteriorate;[dıʹtıərıəreıt];ухудшаться;verb
devastate;[ʹdevəsteıt];опустошить;verb
devil;[ʹdevl];дьявол;noun
devise;[dıʹvaız];разработать;verb
diagnose;[ʹdaıəgnəʋz];диагностировать;verb
diagnosis;[͵daıəgʹnəʋsıs];диагноз;noun
dictate;[ʹdıkteıt];диктовать;verb
dictator;[dıkʹteıtə];диктатор;noun
differentiate;[͵dıfəʹrenʃıeıt];дифференцировать;verb
dignity;[ʹdıgnıtı];достоинство;noun
dilemma;[d(a)ıʹlemə];дилемма;noun
dimension;[d(a)ıʹmenʃ(ə)n];измерение;noun
diminish;[dıʹmınıʃ];уменьшить;verb
dip;[dıp];окунуться;verb
diplomat;[ʹdıpləmæt];дипломат;noun
diplomatic;[͵dıpləʹmætık];дипломатический;adjective
directory;[d(a)ıʹrekt(ə)rı];каталог;noun
disastrous;[dıʹzɑ:strəs];катастрофический;adjective
discard;[ʹdıskɑ:d];отказаться от;verb
discharge;[dısʹtʃɑ:dʒ];выполнять;verb
disclose;[dısʹkləʋz];раскрывать;verb
disclosure;[dısʹkləʋʒə];раскрытие;noun
discourse;[ʹdıskɔ:s];дискурс;noun
discretion;[dısʹkreʃ(ə)n];усмотрение;noun
discrimination;[dıs͵krımıʹneıʃ(ə)n];дискриминация;noun
dismissal;[dısʹmıs(ə)l];увольнение;noun
displace;[dısʹpleıs];вытеснить;verb
disposal;[dısʹpəʋz(ə)l];утилизация;noun
dispose;[dısʹpəʋz];избавиться;verb
dispute;[(ʹ)dısʹpju:t];спор;noun
dispute;[(ʹ)dısʹpju:t];оспаривать;verb
disrupt;[dısʹrʌpt];нарушить;verb
disruption;[dısʹrʌpʃ(ə)n];нарушение;noun
dissolve;[dıʹzɒlv];растворяться;verb
distinction;[dısʹtıŋ(k)ʃ(ə)n];различие;noun
distinctive;[dısʹtıŋ(k)tıv];отличительный;adjective
distort;[dısʹtɔ:t];искажать;verb
distress;[dısʹtres];бедствие;noun
distress;[dısʹtres];огорчать;verb
disturbing;[dısʹtɜ:bıŋ];тревожный;adjective
divert;[daıʹvɜ:t];отвлечь;verb
divine;[dıʹvaın];божественный;adjective
doctrine;[ʹdɒktrın];доктрина;noun
documentation;[͵dɒkjʋmenʹteıʃ(ə)n];документация;noun
domain;[dəʹmeın];домен;noun
dominance;[ʹdɒmınəns];доминирование;noun
donor;[ʹdəʋnə];донор;noun
dose;[dəʋs];доза;noun
drain;[dreın];слить;verb
drift;[drıft];дрейфовать;verb
driving;[ʹdraıvıŋ];движущий;adjective
drown;[draʋn];утонуть;verb
dual;[ʹdju(:)əl];двойной;adjective
dub;[dʌb];дублировать;verb
dumb;[dʌm];глупый;adjective
duo;[ʹdju(:)əʋ];дуэт;noun
dynamic;[daıʹnæmık];динамика;noun
eager;[ʹi:gə];жаждущий;adjective
earnings;[ʹɜ:nıŋz];доход;noun
ease;[i:z];легкость;noun
ease;[i:z];облегчить;verb
echo;[ʹekəʋ];эхо;noun
echo;[ʹekəʋ];повторять;verb
ecological;[͵i:kəʹlɒdʒık(ə)l];экологический;adjective
educator;[ʹedjʋkeıtə];педагог;noun
effectiveness;[ıʹfektıvnıs];эффективность;noun
efficiency;[ıʹfıʃ(ə)nsı];эффективность;noun
ego;[ʹi:gəʋ];эго;noun
elaborate;[ıʹlæb(ə)rət];сложный;adjective
electoral;[ıʹlekt(ə)rəl];избирательный;adjective
elevate;[ʹelıveıt];поднять;verb
eligible;[ʹelıdʒəb(ə)l];иметь право;adjective
elite;[eıʹli:t];элита;noun
embark;[ımʹbɑ:k];начать;verb
embarrassment;[ımʹbærəsmənt];смущение;noun
embassy;[ʹembəsı];посольство;noun
embed;[ımʹbed];встраивать;verb
embody;[ımʹbɒdı];воплощать;verb
emergence;[ıʹmɜ:dʒ(ə)ns];появление;noun
empirical;[ımʹpırık(ə)l];эмпирический;adjective
empower;[ımʹpaʋə];позволить;verb
enact;[ıʹnækt];принять;verb
encompass;[ınʹkʌmpəs];охватывать;verb
encouragement;[ınʹkʌrıdʒmənt];поощрение;noun
encouraging;[ınʹkʌrıdʒıŋ];отрадный;adjective
endeavour;[ınʹdevə];усилие;noun
endless;[ʹendlıs];бесконечный;adjective
endorse;[ınʹdɔ:s];одобрить;verb
endorsement;[ınʹdɔ:smənt];одобрение;noun
endure;[ınʹdjʋə];терпеть;verb
enforce;[ınʹfɔ:s];применять;verb
enforcement;[ınʹfɔ:smənt];исполнение;noun
engagement;[ınʹgeıdʒmənt];участие;noun
engaging;[ınʹgeıdʒıŋ];обаятельный;adjective
enquire;[ınʹkwaıə];узнать;verb
enrich;[ınʹrıtʃ];обогатить;verb
enrol;[in'rəul];поступать;verb
ensue;[ınʹsju:];возникнуть;verb
enterprise;[ʹentəpraız];предприятие;noun
enthusiast;[ınʹθju:zıæst];энтузиаст;noun
entitle;[ınʹtaıtl];давать право;verb
entity;[ʹentıtı];организация;noun
epidemic;[͵epıʹdemık];эпидемия;noun
equality;[ıʹkwɒlıtı];равенство;noun
equation;[ıʹkweıʒ(ə)n];уравнение;noun
erect;[ıʹrekt];возвести;verb
escalate;[ʹeskəleıt];перерасти;verb
essence;[ʹes(ə)ns];суть;noun
establishment;[ıʹstæblıʃmənt];учреждение;noun
eternal;[ıʹtɜ:n(ə)l];вечный;adjective
evacuate;[ıʹvækjʋeıt];эвакуировать;verb
evoke;[ıʹvəʋk];вызывать;verb
evolutionary;[͵i:vəʹlu:ʃən(ə)rı];эволюционный;adjective
exaggerate;[ıgʹzædʒəreıt];преувеличивать;verb
excellence;[ʹeks(ə)ləns];совершенство;noun
exceptional;[ıkʹsepʃ(ə)nəl];исключительный;adjective
excess;[ıkʹses];избыточный;adjective
excess;[ıkʹses];избыток;noun
exclusion;[ıkʹsklu:ʒ(ə)n];исключение;noun
exclusive;[ıkʹsklu:sıv];эксклюзивный;adjective
exclusively;[ıkʹsklu:sıvlı];исключительно;adverb
execute;[ʹeksıkju:t];выполнять;verb
execution;[͵eksıʹkju:ʃ(ə)n];исполнение;noun
exert;[ıgʹzɜ:t];оказывать;verb
exile;[ʹeksaıl];изгнание;noun
exit;[ʹegzıt];выйти;verb
expenditure;[ıkʹspendıtʃə];расход;noun
experimental;[ık͵sperıʹmentl];экспериментальный;adjective
expire;[ıkʹspaıə];истекать;verb
explicit;[ıkʹsplısıt];явный;adjective
explicitly;[ıkʹsplısıtlı];явно;adverb
exploitation;[͵eksplɔıʹteıʃ(ə)n];эксплуатация;noun
explosive;[ıkʹspləʋsıv];взрывной;adjective
explosive;[ıkʹspləʋsıv];взрывчатка;noun
extract;[ʹekstrækt];извлечь;verb
extremist;[ıkʹstri:mıst];экстремист;noun
facilitate;[fəʹsılıteıt];облегчить;verb
faction;[ʹfækʃ(ə)n];фракция;noun
faculty;[ʹfæk(ə)ltı];факультет;noun
fade;[feıd];исчезать;verb
fairness;['f^88^ənəs];справедливость;noun
fatal;[ʹfeıtl];смертельный;adjective
fate;[feıt];судьба;noun
favourable;[ʹfeıv(ə)rəb(ə)l];благоприятный;adjective
feat;[fi:t];подвиг;noun
feminist;[ʹfemınıst];феминистский;adjective
feminist;[ʹfemınıst];феминистка;noun
fibre;[ʹfaıbə];волокно;noun
fierce;[fıəs];ожесточенный;adjective
film-maker;[fılm]-[ʹmeıkə];режиссер;noun
filter;[ʹfıltə];фильтр;noun
filter;[ʹfıltə];фильтровать;verb
fine;[faın];штраф;noun
fine;[faın];оштрафовать;verb
firearm;['faiə(r)ɑ:m];огнестрельное оружие;noun
fit;[fıt];соответствие;noun
fixture;[ʹfıkstʃə];прибор;noun
flaw;[flɔ:];недостаток;noun
flawed;[flɔːd];ошибочный;adjective
flee;[fli:];бежать;verb
fleet;[fli:t];флот;noun
flesh;[fleʃ];плоть;noun
flexibility;[͵fleksəʹbılıtı];гибкость;noun
flourish;[ʹflʌrıʃ];процветать;verb
fluid;[ʹflu:ıd];жидкость;noun
footage;[ʹfʋtıdʒ];кадр;noun
foreigner;[ʹfɒrınə];иностранец;noun
forge;[fɔ:dʒ];наладить;verb
formula;[ʹfɔ:mjʋlə];формула;noun
formulate;[ʹfɔ:mjʋleıt];сформулировать;verb
forth;[fɔ:θ];вперед;adverb
forthcoming;[͵fɔ:θʹkʌmıŋ];предстоящий;adjective
foster;[ʹfɒstə];способствовать;verb
fragile;[ʹfrædʒaıl];хрупкий;adjective
franchise;[ʹfræntʃaız];франшиза;noun
frankly;[ʹfræŋklı];честно говоря;adverb
frustrated;[frʌʹstreıtıd];разочарованный;adjective
frustrating;[frʌʹstreıtıŋ];разочаровывающий;adjective
frustration;[frʌʹstreıʃ(ə)n];разочарование;noun
functional;[ʹfʌŋkʃ(ə)nəl];функциональный;adjective
fundraising;[ʹfʌndreɪsɪŋ];сбор средств;noun
funeral;[ʹfju:n(ə)rəl];похороны;noun
gallon;[ʹgælən];галлон;noun
gambling;[ʹgæmblıŋ];азартные игры;noun
gathering;[ʹgæð(ə)rıŋ];сбор;noun
gaze;[geız];взгляд;noun
gaze;[geız];смотреть;verb
gear;[gıə];снаряжение;noun
generic;[dʒıʹnerık];общий;adjective
genocide;[ʹdʒenəsaıd];геноцид;noun
glance;[glɑ:ns];взгляд;noun
glance;[glɑ:ns];взглянуть;verb
glimpse;[glımps];представление;noun
