word;lvl;transcription;class
annoyed;b1;[əʹnɔıd];adjective
annoying;b1;[əʹnɔııŋ];adjective
annual;b2;[ʹænjʋəl];adjective
annually;b2;[ʹænjʋəlı];adverb
anonymous;c1;[əʹnɒnıməs];adjective
another;a1;[əʹnʌðə];determiner
another;a1;[əʹnʌðə];pronoun
answer;a1;[ʹɑ:nsə];noun
answer;a1;[ʹɑ:nsə];verb
anticipate;b2;[ænʹtısıpeıt];verb
anxiety;b2;[æŋʹzaıətı];noun
anxious;b2;[ʹæŋkʃəs];adjective
any;a2;[ʹenı];adverb
any;a1;[ʹenı];determiner
any;a1;[ʹenı];pronoun
any more;a2;[ʹenı] [mɔ:];adverb
anybody;a2;[ʹenıbɒdı];pronoun
anyone;a1;[ʹenıwʌn];pronoun
anything;a1;[ʹenıθıŋ];pronoun
anyway;a2;[ʹenıweı];adverb
anywhere;a2;[ʹenıweə];adverb
anywhere;a2;[ʹenıweə];pronoun
apart;b1;[əʹpɑ:t];adverb
apartment;a1;[əʹpɑ:tmənt];noun
apologize;b1;[əʹpɒlədʒaız];verb
apology;b2;[əʹpɒlədʒı];noun
app;a2;[æp];noun
apparatus;c1;[͵æpəʹreıtəs];noun
apparent;b2;[əʹpærənt];adjective
apparently;b2;[əʹpærəntlı];adverb
appeal;b2;[əʹpi:l];noun
appeal;b2;[əʹpi:l];verb
appealing;c1;[əʹpi:lıŋ];adjective
appear;a2;[əʹpıə];verb
appearance;a2;[əʹpı(ə)rəns];noun
appetite;c1;[ʹæpıtaıt];noun
applaud;c1;[əʹplɔ:d];verb
apple;a1;[ʹæp(ə)l];noun
applicable;c1;[əʹplıkəb(ə)l];adjective
applicant;b2;[ʹæplıkənt];noun
application;b1;[͵æplıʹkeıʃ(ə)n];noun
apply;a2;[əʹplaı];verb
appoint;c1;[əʹpɔınt];verb
appointment;b1;[əʹpɔıntmənt];noun
appreciate;b1;[əʹpri:ʃıeıt];verb
appreciation;c1;[əʹpri:ʃıʹeıʃ(ə)n];noun
approach;b2;[əʹprəʋtʃ];noun
approach;b2;[əʹprəʋtʃ];verb
appropriate;b2;[əʹprəʋprııt];adjective
appropriately;b2;[əʹprəʋprııtlı];adverb
approval;b2;[əʹpru:v(ə)l];noun
approve;b2;[əʹpru:v];verb
approximately;b1;[əʹprɒksımıtlı];adverb
april;a1;[ʹeıprəl];noun
arbitrary;c1;[ʹɑ:bıtrərı];adjective
architect;a2;[ʹɑ:kıtekt];noun
architectural;c1;[͵ɑ:kıʹtektʃ(ə)rəl];adjective
architecture;a2;[ʹɑ:kıtektʃə];noun
archive;c1;[ʹɑ:kaıv];noun
area;a1;[ʹe(ə)rıə];noun
arena;c1;[əʹri:nə];noun
arguably;c1;['ɑ:gjuəbli];adverb
argue;a2;[ʹɑ:gju:];verb
argument;a2;[ʹɑ:gjʋmənt];noun
arise;b2;[əʹraız];verb
arm;a1;[ɑ:m];noun
arm;c1;[ɑ:m];verb
armed;b2;[ɑ:md];adjective
arms;b2;arms[МН.Ч.];noun
army;a2;[ʹɑ:mı];noun
around;a1;[əʹraʋnd];adverb
around;a1;[əʹraʋnd];preposition
arrange;a2;[əʹreındʒ];verb
arrangement;a2;[əʹreındʒmənt];noun
array;c1;[əʹreı];noun
arrest;b1;[əʹrest];noun
arrest;b1;[əʹrest];verb
arrival;b1;[əʹraıv(ə)l];noun
arrive;a1;[əʹraıv];verb
arrow;b2;[ʹærəʋ];noun
art;a1;[ɑ:t];noun
article;a1;[ʹɑ:tık(ə)l];noun
articulate;c1;[ɑ:ʹtıkjʋlıt];verb
artificial;b2;[͵ɑ:tıʹfıʃ(ə)l];adjective
artist;a1;[ʹɑ:tıst];noun
artistic;b2;[ɑ:ʹtıstık];adjective
artwork;b2;[ʹɑ:twɜ:k];noun
as;a2;[æz];adverb
as;a2;[æz];conjunction
as;a1;[æz];preposition
ash;c1;[æʃ];noun
ashamed;b2;[əʹʃeımd];adjective
aside;b2;[əʹsaıd];adverb
ask;a1;[ɑ:sk];verb
asleep;a2;[əʹsli:p];adjective
aspect;b2;[ʹæspekt];noun
aspiration;c1;[͵æspıʹreıʃ(ə)n];noun
aspire;c1;[əʹspaıə];verb
assassination;c1;[ə͵sæsıʹneıʃ(ə)n];noun
assault;c1;[əʹsɔ:lt];noun
assault;c1;[əʹsɔ:lt];verb
assemble;c1;[əʹsemb(ə)l];verb
assembly;c1;[əʹsemblı];noun
assert;c1;[əʹsɜ:t];verb
assertion;c1;[əʹsɜ:ʃ(ə)n];noun
assess;b2;[əʹses];verb
assessment;b2;[əʹsesmənt];noun
asset;b2;[ʹæset];noun
assign;b2;[əʹsaın];verb
assignment;b1;[əʹsaınmənt];noun
assist;b1;[əʹsıst];verb
assistance;b2;[əʹsıst(ə)ns];noun
assistant;a2;[əʹsıst(ə)nt];adjective
assistant;a2;[əʹsıst(ə)nt];noun
associate;b2;[əʹsəʋʃııt];verb
associated;b2;[əʹsəʋʃıeıtıd];adjective
association;b2;[ə͵səʋsıʹeıʃ(ə)n];noun
assume;b2;[əʹsju:m];verb
assumption;b2;[əʹsʌmpʃ(ə)n];noun
assurance;c1;[əʹʃʋ(ə)rəns];noun
assure;b2;[əʹʃʋə];verb
astonishing;b2;[əʹstɒnıʃıŋ];adjective
asylum;c1;[əʹsaıləm];noun
at;a1;[æt];preposition
athlete;a2;[ʹæθli:t];noun
atmosphere;b1;[ʹætməsfıə];noun
atrocity;c1;[əʹtrɒsıtı];noun
attach;b1;[əʹtætʃ];verb
attachment;b2;[əʹtætʃmənt];noun
attack;a2;[əʹtæk];noun
attack;a2;[əʹtæk];verb
attain;c1;[əʹteın];verb
attempt;b2;[əʹtempt];noun
attempt;b2;[əʹtempt];verb
attend;a2;[əʹtend];verb
attendance;c1;[əʹtendəns];noun
attention;a2;[əʹtenʃ(ə)n];exclamation
attention;a2;[əʹtenʃ(ə)n];noun
attitude;b1;[ʹætıtju:d];noun
attorney;c1;[əʹtɜ:nı];noun
attract;b1;[əʹtrækt];verb
attraction;b1;[əʹtrækʃ(ə)n];noun
attractive;a2;[əʹtræktıv];adjective
attribute;c1;[ʹætrıbju:t];noun
attribute;c1;[ʹætrıbju:t];verb
auction;b2;[ʹɔ:kʃ(ə)n];noun
audience;a2;[ʹɔ:dıəns];noun
audio;b2;[ʹɔ:dıəʋ];adjective
audit;c1;[ʹɔ:dıt];noun
august;a1;[ɔ:ʹgʌst];noun
aunt;a1;[ɑ:nt];noun
authentic;c1;[ɔ:ʹθentık];adjective
author;a2;[ʹɔ:θə];noun
authority;b1;[ɔ:ʹθɒrıtı];noun
authorize;c1;[ʹɔ:θəraız];verb
auto;c1;[ʹɔ:təʋ];noun
automatic;b2;[͵ɔ:təʹmætık];adjective
automatically;b2;[͵ɔ:təʹmætık(ə)lı];adverb
autonomy;c1;[ɔ:ʹtɒnəmı];noun
autumn;a1;[ʹɔ:təm];noun
availability;c1;[ə͵veıləʹbılıtı];noun
available;a2;[əʹveıləb(ə)l];adjective
average;a2;[ʹæv(ə)rıdʒ];adjective
average;a2;[ʹæv(ə)rıdʒ];noun
average;b1;[ʹæv(ə)rıdʒ];verb
avoid;a2;[əʹvɔıd];verb
await;c1;[əʹweıt];verb
award;a2;[əʹwɔ:d];noun
award;b1;[əʹwɔ:d];verb
aware;b1;[əʹweə];adjective
awareness;b2;[əʹweənıs];noun
away;a1;[əʹweı];adverb
awful;a2;[ʹɔ:f(ə)l];adjective
awkward;b2;[ʹɔ:kwəd];adjective
baby;a1;[ʹbeıbı];noun
back;a2;[bæk];adjective
back;a1;[bæk];adverb
back;a1;[bæk];noun
back;b2;[bæk];verb
backdrop;c1;[ʹbækdrɒp];noun
background;a2;[ʹbækgraʋnd];noun
backing;c1;[ʹbækıŋ];noun
backup;c1;[ʹbækʌp];noun
backwards;b1;[ʹbækwədz];adverb
bacteria;b2;[bækʹtı(ə)rıə];noun
bad;a1;[bæd];adjective
badge;b2;[bædʒ];noun
badly;a2;[ʹbædlı];adverb
bag;a1;[bæg];noun
bail;c1;[beıl];noun
bake;b1;[beık];verb
balance;b1;[ʹbæləns];noun
balance;b1;[ʹbæləns];verb
balanced;b2;[ʹbælənst];adjective
ball;a1;[bɔ:l];noun
ballet;b2;[ʹbæleı];noun
balloon;b2;[bəʹlu:n];noun
ballot;c1;[ʹbælət];noun
ban;b1;[bæn];noun
ban;b1;[bæn];verb
banana;a1;[bəʹnɑ:nə];noun
band;a1;[bænd];noun
bank;a1;[bæŋk];noun
banner;c1;[ʹbænə];noun
bar;a2;[bɑ:];noun
bar;b2;[bɑ:];verb
bare;c1;[beə];adjective
barely;b2;[ʹbeəlı];adverb
bargain;b2;[ʹbɑ:gın];noun
barrel;c1;[ʹbærəl];noun
barrier;b2;[ʹbærıə];noun
base;b1;[beıs];noun
base;b1;[beıs];verb
baseball;a2;[ʹbıeısbɔ:l];noun
based;a2;[ʹbeɪst];adjective
basement;b2;[ʹbeısmənt];noun
basic;b1;[ʹbeısık];adjective
basically;b2;[ʹbeısık(ə)lı];adverb
basis;b1;[ʹbeısıs];noun
basket;b2;[ʹbɑ:skıt];noun
basketball;a2;['bɑ:skitbɔ:l];noun
bass;c1;[beıs];noun
bat;b2;[bæt];noun
bat;c1;[bæt];verb
bath;a1;[bɑ:θ];noun
bathroom;a1;[ʹbɑ:θru(:)m];noun
battery;b1;[ʹbæt(ə)rı];noun
battle;b1;[ʹbætl];noun
battle;b2;[ʹbætl];verb
battlefield;c1;[ʹbætlfi:ld];noun
bay;c1;[beı];noun
be;a1;[bi:];verb
be;a1;[bi:];auxiliary verb
beach;a1;[bi:tʃ];noun
beam;c1;[bi:m];noun
bean;a2;[bi:n];noun
bear;a2;[beə];noun
bear;b2;[beə];verb
beast;c1;[bi:st];noun
beat;b2;[bi:t];noun
beat;a2;[bi:t];verb
beautiful;a1;[ʹbju:tıf(ə)l];adjective
beauty;b1;[ʹbju:tı];noun
because;a1;[bıʹkɒz];conjunction
become;a1;[bıʹkʌm];verb
bed;a1;[bed];noun
bedroom;a1;[ʹbedru(:)m];noun
bee;b1;[bi:];noun
beef;a2;[bi:f];noun
beer;a1;[bıə];noun
before;a2;[bıʹfɔ:];adverb
before;a2;[bıʹfɔ:];conjunction
before;a1;[bıʹfɔ:];preposition
beg;b2;[beg];verb
begin;a1;[bıʹgın];verb
beginning;a1;[bıʹgınıŋ];noun
behalf;c1;[bıʹhɑ:f];noun
behave;a2;[bıʹheıv];verb
behaviour;a2;[bıʹheıvıə];noun
behind;a1;[bıʹhaınd];adverb
behind;a1;[bıʹhaınd];preposition
being;b2;[ʹbi:ıŋ];noun
belief;b1;[bıʹli:f];noun
believe;a1;[bıʹli:v];verb
bell;b1;[bel];noun
belong;a2;[bıʹlɒŋ];verb
beloved;c1;[bıʹlʌvıd];adjective
below;a1;[bıʹləʋ];adverb
below;a1;[bıʹləʋ];preposition
belt;a2;[belt];noun
bench;c1;[bentʃ];noun
benchmark;c1;[ʹbentʃmɑ:k];noun
bend;b1;[bend];noun
bend;b1;[bend];verb
beneath;c1;[bıʹni:θ];preposition
beneficial;b2;[͵benıʹfıʃ(ə)l];adjective
beneficiary;c1;[͵benıʹfıʃ(ə)rı];noun
benefit;a2;[ʹbenıfıt];noun
benefit;b1;[ʹbenıfıt];verb
bent;b2;[bent];adjective
beside;b2;[bıʹsaıd];preposition
besides;b2;[bıʹsaıdz];adverb
besides;b2;[bıʹsaıdz];preposition
best;a1;[best];adjective
best;a2;[best];adverb
best;a2;[best];noun
bet;b2;[bet];noun
bet;b2;[bet];verb
betray;c1;[bıʹtreı];verb
better;a1;[ʹbetə];adjective
better;a2;[ʹbetə];adverb
better;b1;[ʹbetə];noun
between;a2;[bıʹtwi:n];adverb
between;a1;[bıʹtwi:n];preposition
beyond;b2;[bıʹjɒnd];adverb
beyond;b2;[bıʹjɒnd];preposition
bias;b2;[ʹbaıəs];noun
bicycle;a1;[ʹbaısık(ə)l];noun
bid;b2;[bıd];noun
bid;b2;[bıd];verb
big;a1;[bıg];adjective
bike;a1;[baık];noun
bill;a1;[bıl];noun
bill;b2;[bıl];verb
billion;a2;[ʹbıljən];number
bin;a2;[bın];noun
bind;c1;[baınd];verb
biography;c1;[baıʹɒgrəfı];noun
biological;b2;[,baiəu'lɔdʒik(əl)];adjective
biology;a2;[baıʹɒlədʒı];noun
bird;a1;[bɜ:d];noun
birth;a2;[bɜ:θ];noun
birthday;a1;[ʹbɜ:θd(e)ı];noun
biscuit;a2;[ʹbıskıt];noun
bishop;c1;[ʹbıʃəp];noun
bit;a2;[bıt];noun
bite;b1;[baıt];noun
bite;b1;[baıt];verb
bitter;b2;[ʹbıtə];adjective
bizarre;c1;[bıʹzɑ:];adjective
black;a1;[blæk];adjective
black;a1;[blæk];noun
blade;c1;[bleıd];noun
blame;b2;[bleım];noun
blame;b2;[bleım];verb
blank;a2;[blæŋk];adjective
blank;a2;[blæŋk];noun
blanket;b2;[ʹblæŋkıt];noun
blast;c1;[blɑ:st];noun
blast;c1;[blɑ:st];verb
bleed;c1;[bli:d];verb
blend;c1;[blend];noun
blend;c1;[blend];verb
bless;c1;[bles];verb
blessing;c1;[ʹblesıŋ];noun
blind;b2;[blaınd];adjective
block;b1;[blɒk];noun
block;b1;[blɒk];verb
blog;a1;[blɔg];noun
blonde;a1;[blɒnd];adjective
blood;a2;[blʌd];noun
blow;b2;[bləʋ];noun
blow;a2;[bləʋ];verb
blue;a1;[blu:];adjective
blue;a1;[blu:];noun
board;a2;[bɔ:d];noun
board;b1;[bɔ:d];verb
boast;c1;[bəʋst];verb
boat;a1;[bəʋt];noun
body;a1;[ʹbɒdı];noun
boil;a2;[bɔıl];verb
bold;b2;[bəʋld];adjective
bomb;b1;[bɒm];noun
bomb;b1;[bɒm];verb
bombing;b2;[ʹbɒmıŋ];noun
bond;b2;[bɒnd];noun
bone;a2;[bəʋn];noun
bonus;c1;[ʹbəʋnəs];noun
book;a1;[bʋk];noun
book;a2;[bʋk];verb
booking;b2;[ʹbʋkıŋ];noun
boom;c1;[bu:m];noun
boost;b2;[bu:st];noun
boost;b2;[bu:st];verb
boot;a1;[bu:t];noun
border;b1;[ʹbɔ:də];noun
border;b2;[ʹbɔ:də];verb
bored;a1;[bɔ:d];adjective
boring;a1;[ʹbɔ:rıŋ];adjective
born;a1;[bɔ:n];verb
borrow;a2;[ʹbɒrəʋ];verb
boss;a2;[bɒs];noun
both;a1;[bəʋθ];determiner
both;a1;[bəʋθ];pronoun
bother;b1;[ʹbɒðə];verb
bottle;a1;[ʹbɒtl];noun
bottom;a2;[ʹbɒtəm];adjective
bottom;a2;[ʹbɒtəm];noun
bounce;c1;[baʋns];verb
bound;b2;[baʋnd];adjective
boundary;c1;[ʹbaʋnd(ə)rı];noun
bow;c1;[bəʋ];noun
bow;c1;[bəʋ];verb
bowl;a2;[bəʋl];noun
box;a1;[bɒks];noun
boy;a1;[bɔı];noun
boyfriend;a1;[ʹbɔıfrend];noun
brain;a2;[breın];noun
branch;b1;[brɑ:ntʃ];noun
brand;b1;[brænd];noun
brand;b1;[brænd];verb
brave;b1;[breıv];adjective
breach;c1;[bri:tʃ];noun
breach;c1;[bri:tʃ];verb
bread;a1;[bred];noun
break;a1;[breık];noun
break;a1;[breık];verb
breakdown;c1;[ʹbreıkdaʋn];noun
breakfast;a1;[ʹbrekfəst];noun
breakthrough;c1;[ʹbreıkθru:];noun
breast;b2;[brest];noun
breath;b1;[breθ];noun
breathe;b1;[bri:ð];verb
breathing;b1;[ʹbri:ðıŋ];noun
breed;c1;[bri:d];noun
breed;c1;[bri:d];verb
brick;b2;[brık];noun
bride;b1;[braıd];noun
bridge;a2;[brıdʒ];noun
brief;b2;[bri:f];adjective
briefly;b2;[ʹbri:flı];adverb
bright;a2;[braıt];adjective
brilliant;a2;[ʹbrılıənt];adjective
bring;a1;[brıŋ];verb
broad;b2;[brɔ:d];adjective
broadband;c1;[ʹbrɔːdbænd];noun
broadcast;b2;[ʹbrɒdkɑ:st];noun
broadcast;b2;[ʹbrɒdkɑ:st];verb
broadcaster;b2;[ʹbrɔ:d͵kɑ:stə];noun
broadly;b2;[ʹbrɔ:dlı];adverb
broken;a2;[ʹbrəʋkən];adjective
brother;a1;[ʹbrʌðə];noun
brown;a1;[braʋn];adjective
brown;a1;[braʋn];noun
browser;c1;[ʹbraʋzə];noun
brush;a2;[brʌʃ];noun
brush;a2;[brʌʃ];verb
brutal;c1;[ʹbru:tl];adjective
bubble;b1;[ʹbʌb(ə)l];noun
buck;c1;[bʌk];noun
buddy;c1;[ʹbʌdı];noun
budget;b2;[ʹbʌdʒıt];noun
buffer;c1;[ʹbʌfə];noun
bug;b2;[bʌg];noun
build;a1;[bıld];verb
building;a1;[ʹbıldıŋ];noun
bulk;c1;[bʌlk];noun
bullet;b2;[ʹbʋlıt];noun
bunch;b2;[bʌntl];noun
burden;c1;[ʹbɜ:dn];noun
bureaucracy;c1;[͵bjʋ(ə)ʹrɒkrəsı];noun
burial;c1;[ʹberıəl];noun
burn;b2;[bɜ:n];noun
burn;a2;[bɜ:n];verb
burst;c1;[bɜ:st];verb
bury;b1;[ʹberı];verb
